Model,Seeds,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Thermo-hard HistoryGNO,5,99.6358 +/- 39.4584,2.8806 +/- 0.0114,1.0225 +/- 0.0399,217.2600 +/- 57.1158,238.1728 +/- 67.7564,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0001 +/- 0.0003,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000
HistoryGNO data-only,5,102.0994 +/- 45.5624,6.5754 +/- 0.6073,2.8580 +/- 0.2429,36330.3270 +/- 10032.8792,280765.2656 +/- 70763.5233,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4282 +/- 0.0632,0.8222 +/- 0.7421,399772.3516 +/- 360850.7195,1.8871 +/- 1.9540
HANO-window recent-history NO,5,535.8793 +/- 299.9860,5.5468 +/- 2.6007,1.0448 +/- 0.0443,4980.3793 +/- 3041.3445,6235.2312 +/- 3866.7137,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4753 +/- 0.5839,0.0285 +/- 0.0334,13871.7031 +/- 16218.1702,2.0126 +/- 1.5379
INCDE Euler neural CDE,5,286.6615 +/- 164.5090,1.1021 +/- 0.0399,1.0193 +/- 0.0298,1064.2049 +/- 579.0236,7788.7724 +/- 4386.2860,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.1926 +/- 0.0283,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000
Thermo-projected neural CDE,5,285.3461 +/- 164.7894,0.9876 +/- 0.0077,1.0215 +/- 0.0438,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0013 +/- 0.0026,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000
Non-recurrent GNO sequence,5,183.0442 +/- 95.3761,1.4644 +/- 0.4515,1.0005 +/- 0.0008,28.7772 +/- 27.1080,302.8262 +/- 222.1476,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.2340 +/- 0.1435,0.0006 +/- 0.0006,312.7918 +/- 303.2858,1.0287 +/- 0.6238
Static DeepONet sequence,5,18.5554 +/- 3.6167,1.2820 +/- 0.2116,0.9999 +/- 0.0012,37.2790 +/- 61.4707,162.9430 +/- 197.9295,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.1961 +/- 0.0523,0.0003 +/- 0.0004,160.4109 +/- 201.7672,0.6194 +/- 0.5068
