load_path,displacement_loss,displacement_relative_l2,eq_plastic_strain_increment_relative_l2,eq_plastic_strain_relative_l2,final_displacement_relative_l2,final_eq_plastic_strain_relative_l2,final_history_relative_l2,final_plastic_multiplier_increment_relative_l2,final_plastic_work_relative_l2,final_von_mises_relative_l2,final_yield_flag_mae,history_increment_relative_l2,history_loss,history_relative_l2,loss_elastic_overstress,loss_plastic_work_lower_bound,loss_yield_surface,plastic_multiplier_increment_relative_l2,plastic_work_increment_relative_l2,plastic_work_relative_l2,predicted_elastic_overstress_relative_violation,predicted_eq_plastic_strain_monotonic_violation,predicted_max_eq_plastic_strain,predicted_mean_plastic_work,predicted_negative_plastic_multiplier_violation,predicted_plastic_work_lower_bound_relative_violation,predicted_plastic_work_monotonic_violation,predicted_yield_flag_bounds_violation,predicted_yield_surface_relative_rms,reversal_eqp_increment_relative_l2,reversal_fraction,reversal_history_increment_relative_l2,reversal_plastic_work_increment_relative_l2,reversal_yield_flag_mae,target_elastic_overstress_relative_violation,target_eq_plastic_strain_monotonic_violation,target_max_eq_plastic_strain,target_mean_plastic_work,target_negative_plastic_multiplier_violation,target_path_newton_residual_relative,target_path_newton_residual_rms,target_plastic_work_lower_bound_relative_violation,target_plastic_work_monotonic_violation,target_yield_flag_bounds_violation,target_yield_surface_relative_rms,total_loss,von_mises_relative_l2,yield_flag_mae,total_loss_ratio,total_loss_delta,displacement_relative_l2_ratio,displacement_relative_l2_delta,history_relative_l2_ratio,history_relative_l2_delta,history_increment_relative_l2_ratio,history_increment_relative_l2_delta,eq_plastic_strain_relative_l2_ratio,eq_plastic_strain_relative_l2_delta,eq_plastic_strain_increment_relative_l2_ratio,eq_plastic_strain_increment_relative_l2_delta,plastic_work_relative_l2_ratio,plastic_work_relative_l2_delta,plastic_work_increment_relative_l2_ratio,plastic_work_increment_relative_l2_delta,plastic_multiplier_increment_relative_l2_ratio,plastic_multiplier_increment_relative_l2_delta,yield_flag_mae_ratio,yield_flag_mae_delta,von_mises_relative_l2_ratio,von_mises_relative_l2_delta,predicted_yield_surface_relative_rms_ratio,predicted_yield_surface_relative_rms_delta,predicted_elastic_overstress_relative_violation_ratio,predicted_elastic_overstress_relative_violation_delta,predicted_plastic_work_lower_bound_relative_violation_ratio,predicted_plastic_work_lower_bound_relative_violation_delta
monotonic,0.7366585731506348,0.8582881689071655,2.595473527908325,4.577779769897461,0.8697115778923035,3.6474289894104004,0.7257274985313416,4.775651931762695,10.334436416625977,0.4117794930934906,0.25758036971092224,0.9631528258323669,0.49553319811820984,0.7039412260055542,9.52106620388804e-06,1.282644510269165,0.5594267249107361,7.4644455909729,6.986369609832764,13.815662384033203,0.0013498397311195731,0.0,0.7103584408760071,0.2572188973426819,0.0,0.4257065951824188,0.0,0.0,0.5619010329246521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055512607097626,0.011179580353200436,0.0,1.4683066606521606,0.013224412687122822,0.0,0.0,0.0,5.758003496225683e-08,7.044592380523682,0.6225245594978333,0.34542348980903625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unload_reload,0.7784541249275208,0.8823004961013794,2.002235174179077,3.2724337577819824,0.8700748682022095,3.6444225311279297,0.7212734222412109,3.8498477935791016,10.334322929382324,0.4111975133419037,0.25490742921829224,1.005326509475708,0.7944219708442688,0.891303539276123,5.529012469196459e-06,1.5018771886825562,0.2717668414115906,5.4125542640686035,5.422891616821289,10.25301456451416,0.0013498683692887425,0.0,0.7103582620620728,0.2572188079357147,0.0,0.4257071316242218,0.0,0.0,0.5619009733200073,3266.4326171875,0.3333333432674408,1.016719102859497,16633.35546875,0.7325421571731567,0.0,0.0,0.304943710565567,0.01852869801223278,0.0,1.5678738355636597,0.015093673951923847,0.0,0.0,0.0,4.271387155085904e-08,5.207808494567871,0.49790945649147034,0.4785976707935333,0.7392632835600251,-1.8367838859558105,1.0279769989428935,0.024012327194213867,1.266161870265417,0.18736231327056885,1.0437871150997187,0.042173683643341064,0.7148517233836442,-1.3053460121154785,0.7714334793438117,-0.593238353729248,0.742129785710716,-3.562647819519043,0.7762102378879293,-1.5634779930114746,0.725111355974549,-2.051891326904297,1.38553886725573,0.13317418098449707,0.7998229931572738,-0.12461510300636292,0.9999998939232333,-5.960464477539063e-08,1.0000212159773558,2.8638169169425964e-08,1.000001260120959,5.364418029785156e-07
cyclic,0.8281084299087524,0.9100046157836914,1.787095546722412,2.286907434463501,0.8763918876647949,3.4381344318389893,3.5359456539154053,1139.882080078125,9.621474266052246,0.8259724974632263,0.7290922403335571,1.0174814462661743,1.071850061416626,1.035301923751831,9.212020017912437e-07,2.4114694595336914,0.14010468125343323,3.9329166412353516,3.86755633354187,6.678399085998535,0.001349908416159451,0.0,0.7103604078292847,0.25721871852874756,0.0,0.4257079064846039,0.0,0.0,0.5619009137153625,315.8995666503906,0.5,1.026192307472229,901.3518676757812,0.7105385065078735,0.0,0.0,0.30415916442871094,0.029572630301117897,0.0,1.5379942655563354,0.013303408399224281,1.3680184984821153e-08,0.0,0.0,4.053076452237292e-08,4.022998332977295,0.5276316404342651,0.5497867465019226,0.5710760986114335,-3.0215940475463867,1.0602553416789782,0.05171644687652588,1.4707221079045913,0.33136069774627686,1.0564070612437397,0.05432862043380737,0.4995669406164391,-2.29087233543396,0.688543160816832,-0.8083779811859131,0.48339333289707326,-7.137263298034668,0.553585989510001,-3.1188132762908936,0.526886637902701,-3.531528949737549,1.5916310347216585,0.20436325669288635,0.8475675897186858,-0.09489291906356812,0.9999997878464666,-1.1920928955078125e-07,1.00005088384813,6.868503987789154e-08,1.0000030802956776,1.3113021850585938e-06
nonproportional,0.8583751320838928,0.9264853596687317,1.8444468975067139,2.4745988845825195,0.9233577251434326,3.548192262649536,2.7403464317321777,1428.0357666015625,9.981797218322754,0.6407779455184937,0.7051166296005249,1.024143934249878,0.7551235556602478,0.8689784407615662,1.9963583781645866e-06,2.3787155151367188,0.15451088547706604,4.680743217468262,4.58466100692749,7.246816158294678,0.001349880127236247,0.0,0.710358738899231,0.25721874833106995,0.0,0.42570772767066956,0.0,0.0,0.5619009137153625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3306017518043518,0.02634011022746563,0.0,1.537671446800232,0.017239205539226532,1.5110506623727815e-08,0.0,0.0,4.140971299193552e-08,4.360416412353516,0.45093590021133423,0.48941126465797424,0.6189735582727032,-2.684175968170166,1.0794572187199083,0.06819719076156616,1.2344474348980803,0.16503721475601196,1.063324434899313,0.060991108417510986,0.5405674822661792,-2.1031808853149414,0.7106398418916418,-0.7510266304016113,0.5245362804080854,-6.568846225738525,0.6562293813477806,-2.4017086029052734,0.6270717845581059,-2.7837023735046387,1.4168441900941366,0.143987774848938,0.7243664419843724,-0.17158865928649902,0.9999997878464666,-1.1920928955078125e-07,1.0000299266022052,4.039611667394638e-08,1.000002660255358,1.1324882507324219e-06
