load_path,displacement_loss,displacement_relative_l2,eq_plastic_strain_increment_relative_l2,eq_plastic_strain_relative_l2,final_displacement_relative_l2,final_eq_plastic_strain_relative_l2,final_history_relative_l2,final_plastic_multiplier_increment_relative_l2,final_plastic_work_relative_l2,final_von_mises_relative_l2,final_yield_flag_mae,history_increment_relative_l2,history_loss,history_relative_l2,loss_elastic_overstress,loss_plastic_work_lower_bound,loss_yield_surface,plastic_multiplier_increment_relative_l2,plastic_work_increment_relative_l2,plastic_work_relative_l2,predicted_elastic_overstress_relative_violation,predicted_eq_plastic_strain_monotonic_violation,predicted_max_eq_plastic_strain,predicted_mean_plastic_work,predicted_negative_plastic_multiplier_violation,predicted_plastic_work_lower_bound_relative_violation,predicted_plastic_work_monotonic_violation,predicted_yield_flag_bounds_violation,predicted_yield_surface_relative_rms,reversal_eqp_increment_relative_l2,reversal_fraction,reversal_history_increment_relative_l2,reversal_plastic_work_increment_relative_l2,reversal_yield_flag_mae,target_elastic_overstress_relative_violation,target_eq_plastic_strain_monotonic_violation,target_max_eq_plastic_strain,target_mean_plastic_work,target_negative_plastic_multiplier_violation,target_path_newton_residual_relative,target_path_newton_residual_rms,target_plastic_work_lower_bound_relative_violation,target_plastic_work_monotonic_violation,target_yield_flag_bounds_violation,target_yield_surface_relative_rms,total_loss,von_mises_relative_l2,yield_flag_mae,total_loss_ratio,total_loss_delta,displacement_relative_l2_ratio,displacement_relative_l2_delta,history_relative_l2_ratio,history_relative_l2_delta,history_increment_relative_l2_ratio,history_increment_relative_l2_delta,eq_plastic_strain_relative_l2_ratio,eq_plastic_strain_relative_l2_delta,eq_plastic_strain_increment_relative_l2_ratio,eq_plastic_strain_increment_relative_l2_delta,plastic_work_relative_l2_ratio,plastic_work_relative_l2_delta,plastic_work_increment_relative_l2_ratio,plastic_work_increment_relative_l2_delta,plastic_multiplier_increment_relative_l2_ratio,plastic_multiplier_increment_relative_l2_delta,yield_flag_mae_ratio,yield_flag_mae_delta,von_mises_relative_l2_ratio,von_mises_relative_l2_delta,predicted_yield_surface_relative_rms_ratio,predicted_yield_surface_relative_rms_delta,predicted_elastic_overstress_relative_violation_ratio,predicted_elastic_overstress_relative_violation_delta,predicted_plastic_work_lower_bound_relative_violation_ratio,predicted_plastic_work_lower_bound_relative_violation_delta
monotonic,64.73202514648438,8.045621871948242,22.518451690673828,36.316131591796875,7.1345624923706055,31.281169891357422,3.0895087718963623,15.282382011413574,109.15357208251953,1.3670544624328613,0.4377022981643677,1.6419436931610107,6.7287116050720215,2.593975782394409,0.0,244.56373596191406,0.7036948204040527,20.358779907226562,70.78101348876953,136.64952087402344,0.0,0.0,2.642214059829712,1.1084303855895996,0.0,2.761873245239258,0.0,0.0,0.4700033664703369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11655382812023163,0.004616160877048969,0.0,1.2883760929107666,0.042814478278160095,0.0,0.0,0.0,4.659803920503691e-08,624.1229248046875,2.5585224628448486,0.471488356590271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unload_reload,40.786476135253906,6.386429309844971,26.097232818603516,28.570526123046875,7.134367942810059,31.280601501464844,3.0918898582458496,25.951826095581055,109.15238952636719,1.3670934438705444,0.4376998543739319,1.3609694242477417,6.63364315032959,2.5755858421325684,0.0,686.1078491210938,0.49774250388145447,20.178558349609375,78.34349060058594,109.38040161132812,0.0,0.0,2.642214298248291,1.1084156036376953,0.0,2.7617785930633545,0.0,0.0,0.4700057804584503,46.91937255859375,1.0,1.2484997510910034,111.28020477294922,0.4947021007537842,0.0,0.0,0.11655353009700775,0.007252993993461132,0.0,1.3483487367630005,0.04822321981191635,0.0,0.0,0.0,2.3300627205458113e-08,730.48681640625,2.343273878097534,0.4766508638858795,1.1704213823500362,106.3638916015625,0.7937769648498906,-1.6591925621032715,0.9929105196792294,-0.01838994026184082,0.8288770375722523,-0.28097426891326904,0.7867172209911371,-7.74560546875,1.158926607259231,3.5787811279296875,0.8004448234558057,-27.269119262695312,1.1068433007534755,7.562477111816406,0.9911477230738559,-0.1802215576171875,1.010949384483093,0.0051625072956085205,0.9158699648437023,-0.21524858474731445,1.0000051361081337,2.4139881134033203e-06,0.0,0.0,0.9999657289935132,-9.465217590332031e-05
cyclic,23.695701599121094,4.867823123931885,176.7676239013672,21.026832580566406,7.218881130218506,30.509746551513672,8.502472877502441,22376.609375,106.96632385253906,4.075597763061523,0.5467156767845154,1.3914755582809448,7.324760913848877,2.7064294815063477,0.0,36917.04296875,0.3162285387516022,12.052016258239746,851.259033203125,75.70742797851562,0.0,0.0,2.642214059829712,1.108418345451355,0.0,2.7618534564971924,0.0,0.0,0.46998581290245056,234.00840759277344,1.0,1.3517255783081055,994.8776245117188,0.497505784034729,0.0,0.0,0.11804814636707306,0.011854433454573154,0.0,1.3431507349014282,0.05007582902908325,0.0,0.0,0.0,2.4594468683858395e-08,75657.3203125,1.9596296548843384,0.4884081184864044,121.22182555011281,75033.19738769531,0.6050275791488501,-3.1777987480163574,1.0433518693101045,0.11245369911193848,0.8474563190422969,-0.2504681348800659,0.5789942832269054,-15.289299011230469,7.849901331119347,154.24917221069336,0.5540262965745043,-60.94209289550781,12.026657873981842,780.4780197143555,0.591981263767273,-8.306763648986816,1.0358858530855235,0.016919761896133423,0.7659223959696665,-0.5988928079605103,0.9999626522507313,-1.755356788635254e-05,0.0,0.0,0.9999928350288705,-1.9788742065429688e-05
nonproportional,24.379735946655273,4.937583923339844,31.330101013183594,22.34381103515625,6.756701946258545,29.87850570678711,26.341537475585938,518505922560.0,102.02154541015625,4.6386003494262695,0.5622950196266174,1.6559604406356812,9.082500457763672,3.013718605041504,0.0,2364.582275390625,0.11680225282907486,16.139734268188477,79.0660400390625,79.79467010498047,0.0,0.0,2.64221453666687,1.1084061861038208,0.0,2.7617180347442627,0.0,0.0,0.4700075089931488,13648.5361328125,0.5,1.303436279296875,79857.6640625,0.5388113856315613,0.0,0.0,0.12194623798131943,0.010406632907688618,0.0,1.4001739025115967,0.052939001470804214,0.0,0.0,0.0,2.6656820750758925e-08,759.8569946289062,2.143813371658325,0.504572868347168,1.217479705406904,135.73406982421875,0.6136982326444097,-3.1080379486083984,1.1618144724002182,0.4197428226470947,1.008536679749161,0.01401674747467041,0.615258565705916,-13.972320556640625,1.3913079568503002,8.811649322509766,0.5839366987502489,-56.85485076904297,1.1170515388509874,8.285026550292969,0.7927653003635797,-4.219045639038086,1.070170368566806,0.03308451175689697,0.8379107093218936,-0.41470909118652344,1.0000088138151924,4.1425228118896484e-06,0.0,0.0,0.999943802455358,-0.0001552104949951172
