Model,Load path,Seeds,Disp. rel. L2,History rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,QP reversal scalar-inc. rel. L2,QP reversal eqp-inc. rel. L2,QP reversal work-inc. rel. L2,QP reversal yield MAE,QP inactive false plasticity,True-J2 consistency rel. RMS,True-J2 active consistency rel. RMS,True-J2 negative dgamma,True-J2 active QP frac.,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.,FEM tangent-solver rel. RMS,Newton initial residual rel. RMS,Newton final residual rel. RMS,Newton residual ratio,Newton residual decrease frac.,Newton step decrease frac.,Newton step 1 residual ratio,Newton step 2 residual ratio,Newton step 3 residual ratio,Newton step 1 decrease frac.,Newton step 2 decrease frac.,Newton step 3 decrease frac.,Newton correction rel. norm,Newton accepted damping,Newton convergence rate,Newton failure rate
True differentiable J2 QP-HistoryGNO,monotonic,5,51.3842 +/- 18.9938,1.2691 +/- 0.2427,1.6235 +/- 0.4168,1.8329 +/- 0.5915,2.5879 +/- 0.9877,4.3103 +/- 3.2274,4.4850 +/- 3.4481,0.7779 +/- 0.1205,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.2894 +/- 0.1759,0.3581 +/- 0.2878,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4620 +/- 0.3425,7.5413 +/- 5.7867,7.8596 +/- 6.2596,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0318 +/- 0.0179,0.0000 +/- 0.0000,0.0074 +/- 0.0061,0.0007 +/- 0.0007,,,13.2916 +/- 9.8560,17.2775 +/- 12.0975,47.5021 +/- 18.2725,12.5682 +/- 9.1608,0.0000 +/- 0.0000,0.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9944 +/- 0.0044,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,1.1885 +/- 1.0353,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000
True differentiable J2 QP-HistoryGNO,unload_reload,5,49.3716 +/- 18.2933,1.1034 +/- 0.1122,1.6125 +/- 0.3944,1.5863 +/- 0.4176,2.5268 +/- 0.9284,5.4665 +/- 4.2413,5.7347 +/- 4.5572,0.6904 +/- 0.1234,1.6896 +/- 0.4247,2.5642 +/- 2.4874,2.6615 +/- 2.6615,0.5246 +/- 0.3264,0.2908 +/- 0.1755,0.3583 +/- 0.2873,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4625 +/- 0.3416,7.3418 +/- 5.6115,7.7561 +/- 6.1565,1.8878 +/- 0.5368,0.5040 +/- 0.0600,0.0319 +/- 0.0179,0.0000 +/- 0.0000,0.0075 +/- 0.0062,0.0008 +/- 0.0007,,,12.3420 +/- 9.1137,16.6611 +/- 11.8093,45.8744 +/- 17.5984,11.6850 +/- 8.4912,0.0000 +/- 0.0000,0.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9944 +/- 0.0044,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,1.1588 +/- 1.0122,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000
True differentiable J2 QP-HistoryGNO,cyclic,5,47.7202 +/- 17.5515,1.0338 +/- 0.0490,1.1825 +/- 0.1153,1.4938 +/- 0.3378,1.5371 +/- 0.3373,1.9747 +/- 1.0541,2.0049 +/- 1.1062,0.7561 +/- 0.0903,1.5039 +/- 0.3394,1.2514 +/- 0.4293,1.2583 +/- 0.4485,0.5358 +/- 0.2521,0.2929 +/- 0.1757,0.3561 +/- 0.2882,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4660 +/- 0.3433,2.3844 +/- 1.3755,2.4303 +/- 1.4750,1.5688 +/- 0.4071,0.5176 +/- 0.0344,0.0315 +/- 0.0177,0.0000 +/- 0.0000,0.0021 +/- 0.0017,0.0008 +/- 0.0008,,,13.7545 +/- 10.1053,159.8457 +/- 185.1741,91.9518 +/- 32.2225,13.0195 +/- 9.4152,0.0000 +/- 0.0000,0.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9944 +/- 0.0043,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,1.3853 +/- 1.0517,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000
True differentiable J2 QP-HistoryGNO,nonproportional,5,38.4670 +/- 14.3517,0.9160 +/- 0.0535,1.7804 +/- 0.5112,1.2931 +/- 0.2122,2.6642 +/- 1.0146,3.4519 +/- 2.4411,3.5994 +/- 2.6238,0.6064 +/- 0.1465,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.2927 +/- 0.1757,0.3578 +/- 0.2877,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4641 +/- 0.3423,6.0650 +/- 4.5116,6.3691 +/- 4.9311,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0319 +/- 0.0178,0.0000 +/- 0.0000,0.0067 +/- 0.0055,0.0008 +/- 0.0007,,,10.5869 +/- 7.7945,13.7194 +/- 9.7209,35.7221 +/- 13.7832,10.0257 +/- 7.2679,0.0000 +/- 0.0000,0.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9944 +/- 0.0044,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.8942 +/- 0.7765,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000
