Model,Load path,Seeds,Disp. rel. L2,History rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,QP reversal scalar-inc. rel. L2,QP reversal eqp-inc. rel. L2,QP reversal work-inc. rel. L2,QP reversal yield MAE,QP inactive false plasticity,True-J2 consistency rel. RMS,True-J2 active consistency rel. RMS,True-J2 negative dgamma,True-J2 active QP frac.,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.,FEM tangent-solver rel. RMS,Newton initial residual rel. RMS,Newton final residual rel. RMS,Newton residual ratio,Newton residual decrease frac.,Newton step decrease frac.,Newton correction rel. norm,Newton accepted damping,Newton convergence rate,Newton failure rate
True differentiable J2 QP-HistoryGNO,monotonic,5,74.2794 +/- 41.1153,1.7054 +/- 0.0593,1.2786 +/- 0.3658,2.6029 +/- 0.0623,1.7297 +/- 0.9375,15.3430 +/- 4.1149,16.7145 +/- 4.8259,0.9677 +/- 0.0429,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4909 +/- 0.0135,0.0372 +/- 0.0473,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.9658 +/- 0.0512,27.2234 +/- 6.3618,29.7258 +/- 7.2540,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0104 +/- 0.0139,0.0000 +/- 0.0000,0.0418 +/- 0.0778,0.0011 +/- 0.0020,,,36.1246 +/- 12.3411,34.3331 +/- 26.9341,70.6168 +/- 38.7911,33.5449 +/- 11.6852,0.0013 +/- 0.0007,0.0001 +/- 0.0000,0.9999 +/- 0.0000,0.9999 +/- 0.0000,7.5718 +/- 4.4583,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000
True differentiable J2 QP-HistoryGNO,unload_reload,5,71.3789 +/- 39.5189,1.3422 +/- 0.0450,1.2519 +/- 0.3234,2.1373 +/- 0.0474,1.6876 +/- 0.8783,20.1056 +/- 5.4477,22.0976 +/- 6.4591,0.8175 +/- 0.0382,1.2618 +/- 0.4292,8.4952 +/- 2.5907,9.4581 +/- 3.0282,0.0345 +/- 0.0604,0.4908 +/- 0.0136,0.0376 +/- 0.0480,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.9655 +/- 0.0518,26.8789 +/- 6.4585,29.7995 +/- 7.4646,1.4152 +/- 0.6717,0.5807 +/- 0.0205,0.0106 +/- 0.0141,0.0000 +/- 0.0000,0.0433 +/- 0.0810,0.0011 +/- 0.0020,,,34.0193 +/- 11.5820,35.0093 +/- 24.8534,68.1513 +/- 37.5413,31.5900 +/- 10.9784,0.0012 +/- 0.0007,0.0001 +/- 0.0000,0.9999 +/- 0.0000,0.9999 +/- 0.0000,7.2644 +/- 4.2564,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000
True differentiable J2 QP-HistoryGNO,cyclic,5,69.0246 +/- 38.2135,1.1545 +/- 0.0311,1.0653 +/- 0.1101,1.9277 +/- 0.0365,1.2219 +/- 0.3283,6.1352 +/- 1.6931,6.5309 +/- 1.9421,0.8851 +/- 0.0362,1.1630 +/- 0.2716,2.7459 +/- 0.7482,2.9211 +/- 0.8434,0.1443 +/- 0.0411,0.4907 +/- 0.0135,0.0369 +/- 0.0467,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.9658 +/- 0.0513,7.7280 +/- 1.8853,8.2783 +/- 2.0984,1.1770 +/- 0.3116,0.4567 +/- 0.0017,0.0103 +/- 0.0136,0.0000 +/- 0.0000,0.0121 +/- 0.0227,0.0011 +/- 0.0020,,,37.8799 +/- 12.8938,1161.6055 +/- 666.8110,138.0976 +/- 75.9194,35.1780 +/- 12.2240,0.0013 +/- 0.0007,0.0001 +/- 0.0000,0.9999 +/- 0.0000,0.9999 +/- 0.0000,8.7409 +/- 4.7588,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000
True differentiable J2 QP-HistoryGNO,nonproportional,5,55.5429 +/- 30.7415,0.9126 +/- 0.0219,1.3350 +/- 0.4278,1.5765 +/- 0.0272,1.7610 +/- 0.9563,12.1876 +/- 3.3484,13.3368 +/- 3.9484,0.6599 +/- 0.0336,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4908 +/- 0.0136,0.0381 +/- 0.0478,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.9655 +/- 0.0516,21.9847 +/- 5.3548,24.2191 +/- 6.1378,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0107 +/- 0.0139,0.0000 +/- 0.0000,0.0356 +/- 0.0665,0.0011 +/- 0.0021,,,29.2450 +/- 9.9781,30.4070 +/- 18.3440,52.9930 +/- 29.1264,27.1568 +/- 9.4542,0.0010 +/- 0.0006,0.0001 +/- 0.0000,0.9999 +/- 0.0000,0.9999 +/- 0.0000,5.6368 +/- 3.3092,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000
