Model,Load path,Seeds,Disp. rel. L2,History rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.
True differentiable J2 QP-HistoryGNO,monotonic,5,100.6047 +/- 38.8619,2.5838 +/- 0.0663,1.1763 +/- 0.3312,3.9398 +/- 0.0765,1.4634 +/- 0.8335,53.7336 +/- 14.2416,58.7903 +/- 16.5502,1.3547 +/- 0.0624,62.4483 +/- 18.9308,71.1304 +/- 23.7243,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0056 +/- 0.0079,0.0000 +/- 0.0000,0.0018 +/- 0.0024,0.0000 +/- 0.0000,,,65.5228 +/- 34.8810,33.9425 +/- 20.4412
True differentiable J2 QP-HistoryGNO,cyclic,5,94.4280 +/- 36.4997,2.1780 +/- 0.0575,1.0409 +/- 0.0765,3.3608 +/- 0.0657,1.1293 +/- 0.2358,15.8083 +/- 4.2160,16.7228 +/- 4.7347,1.3762 +/- 0.0644,19.1663 +/- 5.8284,21.1079 +/- 7.0627,1.0748 +/- 0.1457,0.8365 +/- 0.0537,0.0055 +/- 0.0077,0.0000 +/- 0.0000,0.0006 +/- 0.0007,0.0000 +/- 0.0000,,,68.2413 +/- 36.3153,2598.7625 +/- 2471.2533
