Model,Seeds,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation
HistoryGNO data-only,1,6.4027 +/- 0.0000,6.5282 +/- 0.0000,1.5683 +/- 0.0000,18.7090 +/- 0.0000,42.1080 +/- 0.0000,1.4368 +/- 0.0000,0.5946 +/- 0.0000,0.5493 +/- 0.0000,7.8282 +/- 0.0000
Non-recurrent GNO sequence,1,21.2716 +/- 0.0000,2.0248 +/- 0.0000,1.0000 +/- 0.0000,1.0016 +/- 0.0000,0.9783 +/- 0.0000,0.9997 +/- 0.0000,0.0499 +/- 0.0000,0.0006 +/- 0.0000,0.0000 +/- 0.0000

