Model,Load path,Seeds,Disp. rel. L2,History rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,QP reversal scalar-inc. rel. L2,QP reversal eqp-inc. rel. L2,QP reversal work-inc. rel. L2,QP reversal yield MAE,QP inactive false plasticity,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.
Dual-head active-QP HistoryGNO,monotonic,1,99.4535 +/- 0.0000,2.1083 +/- 0.0000,0.9982 +/- 0.0000,3.1975 +/- 0.0000,0.9984 +/- 0.0000,3.6394 +/- 0.0000,3.6080 +/- 0.0000,1.1818 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4007 +/- 0.0000,3.9260 +/- 0.0000,3.9033 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0003 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,76.6442 +/- 0.0000,14.6116 +/- 0.0000
Dual-head active-QP HistoryGNO,cyclic,1,93.4999 +/- 0.0000,1.7819 +/- 0.0000,0.9995 +/- 0.0000,2.7301 +/- 0.0000,0.9996 +/- 0.0000,1.3162 +/- 0.0000,1.2899 +/- 0.0000,1.1926 +/- 0.0000,1.0022 +/- 0.0000,1.0498 +/- 0.0000,1.0390 +/- 0.0000,0.5517 +/- 0.0000,0.4007 +/- 0.0000,1.4267 +/- 0.0000,1.3946 +/- 0.0000,1.0022 +/- 0.0000,0.7202 +/- 0.0000,0.0003 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,79.8107 +/- 0.0000,4117.8916 +/- 0.0000
