Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,FEM residual rel. RMS,FEM energy rel. err.
True differentiable J2 QP-HistoryGNO,20260517,819.897,57.3511,2.20847,1.00025,3.39503,1.00055,16.3228,17.5798,1.37808,25.9563,29.9426,1.00015,0.863834,8.96724e-08,0,0,0,42.0735,921.184
True differentiable J2 QP-HistoryGNO,20260518,1532.94,56.3898,2.0632,1.19375,3.22956,1.59974,7.76358,7.74585,1.25236,9.51303,9.75705,1.36618,0.729121,0.0198269,8.99764e-09,0.000964964,9.77407e-05,24.4151,284.635
True differentiable J2 QP-HistoryGNO,20260519,1895.03,155.336,2.20879,1.00044,3.3958,1.00212,20.0681,21.7357,1.43353,23.7952,26.2596,1.00031,0.863834,0.000445942,0,0,0,129.08,6914.6
True differentiable J2 QP-HistoryGNO,20260520,1298.55,105.33,2.209,1.00015,3.39577,1.00032,17.8886,18.9128,1.41092,20.2298,22.2901,1.00024,0.863834,8.76757e-08,0,0,0,83.8922,3794.47
True differentiable J2 QP-HistoryGNO,20260521,11827.6,97.7333,2.20054,1.00995,3.38771,1.04361,16.9982,17.64,1.4063,16.3371,17.29,1.00704,0.861656,0.00706046,1.69587e-08,0.00181876,0.00010418,61.7455,1078.93
