load_path,metric,mean,std,median,iqr,min,max,n
cyclic,sparse_observation_relative_l2,0.8991488695144654,0.14414097190068173,0.8475010097026825,0.02247139811515808,0.8120935559272766,1.155454695224762,5
cyclic,rollout_displacement_relative_l2,0.8825953245162964,0.0909287612356824,0.8430402874946594,0.07363972067832947,0.8183742761611938,1.035739690065384,5
cyclic,material_parameter_relative_l2,0.13930992037057877,0.0420392650882393,0.15177401527762413,0.0389979612082243,0.07111075334250927,0.17552975565195084,5
cyclic,material_parameter_mae,2.561205857992172,0.645075637056139,2.74277326464653,0.2750229239463806,1.4401753544807434,3.043275237083435,5
cyclic,material_parameter_coverage_95,0.0833333358168602,0.05892556685499765,0.0833333358168602,0.0,0.0,0.1666666716337204,5
cyclic,material_parameter_ece,0.7083333194255829,0.05965757458091677,0.7041666507720947,0.020833343267440796,0.6208333373069763,0.7874999642372131,5
cyclic,material_parameter_posterior_std,0.14250959679484368,0.04719045670775809,0.12287898361682892,0.05935034528374672,0.09948039799928665,0.21239212900400162,5
cyclic,calibrated_material_parameter_coverage_95,1.0,0.0,1.0,0.0,1.0,1.0,5
cyclic,calibrated_material_parameter_ece,0.07333333045244217,0.009128710788065203,0.07916666567325592,0.008333340287208557,0.05833332985639572,0.07916666567325592,5
cyclic,calibrated_material_parameter_spread_scale,27.87137622833252,7.960681377501974,24.527000427246094,10.92583179473877,18.826208114624023,37.75367546081543,5
cyclic,calibrated_material_parameter_posterior_std,3.583182454109192,1.1623671565530835,3.8082656860351562,0.47914111614227295,1.7832257747650146,4.992203950881958,5
cyclic,history_relative_l2,0.9468611776828766,0.09510134493726426,0.9951207339763641,0.13821256160736084,0.8350842595100403,1.051531434059143,5
cyclic,history_final_relative_l2,4.002201253175736,3.452241695195565,3.709687113761902,4.623356372117996,0.8396831154823303,9.062673091888428,5
cyclic,history_coverage_95,0.0692187511944212,0.049213829451735386,0.06406250037252903,0.08398437593132257,0.009765624825377017,0.1191406287252903,5
cyclic,history_ece,0.7186425745487213,0.04956668596140055,0.723681628704071,0.08476564288139343,0.668408215045929,0.7784667611122131,5
cyclic,history_posterior_std,0.0014172298750054324,0.0014034170975131335,0.0012931025703437626,0.002134746428055223,4.4238035115995444e-05,0.0033191501861438155,5
cyclic,calibrated_history_coverage_95,0.9650781214237213,0.022404999540216814,0.949999988079071,0.025390654802322388,0.949999988079071,1.0,5
