Model,Load path,Seeds,Disp. rel. L2,History rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.
QP-aware active-zone thermo-hard HistoryGNO,monotonic,5,78.8579 +/- 44.1309,0.9914 +/- 0.0043,1.0011 +/- 0.0006,0.9819 +/- 0.0089,1.0024 +/- 0.0012,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.6718 +/- 0.1632,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,95.3797 +/- 43.6760,74.5473 +/- 49.9111
QP-aware active-zone thermo-hard HistoryGNO,cyclic,5,74.0720 +/- 41.4085,0.9931 +/- 0.0034,1.0001 +/- 0.0001,0.9857 +/- 0.0070,1.0002 +/- 0.0001,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.6645 +/- 0.1666,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9998 +/- 0.0001,0.1362 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,99.2952 +/- 45.4624,5782.6670 +/- 4981.3987
