Ablation,Ablation id,Solver mode,Newton damping,Newton steps,Line search,Regularization,Model,Load path,Metric,Metric label,Case mean,Case std,Case median,Case IQR,Cases,Case list
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_final_residual_relative_rms,Newton final residual rel RMS,1.45638,0.494571,1.17722,0.33113,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_initial_residual_relative_rms,Newton initial residual rel RMS,11.651,3.95655,9.41774,2.64908,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_residual_decrease_fraction,Newton residual decrease,0.875,5.7735e-07,0.875,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_residual_ratio,Newton residual ratio,0.125,5.7735e-07,0.125,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.499999,0,0.499999,5e-07,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,monotonic,fem_residual_relative_rms,FEM residual rel RMS,12.2195,4.45939,10.1322,3.1533,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,monotonic,fem_solver_linearized_residual_relative_rms,FEM tangent-solver rel RMS,85.6494,18.6359,66.8358,20.9944,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,monotonic,qp_history_increment_relative_l2,QP history-inc rel L2,2.29835,0.520063,2.65919,1.00768,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,monotonic,qp_history_relative_l2,QP history rel L2,1.81484,0.125222,2.05577,0.160955,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,displacement_relative_l2,rollout disp rel L2,72.4991,17.1616,55.6724,17.0706,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_energy_relative_error,FEM energy rel err,30.4402,4.80032,20.2105,12.3277,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_accepted_damping,Newton accepted damping,0.5,0,0.5,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_convergence_rate,Newton convergence rate,0,0,0,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_correction_relative_norm,Newton correction rel norm,1.73767,1.06924,0.931395,0.16779,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_failure_rate,Newton failure rate,0,0,0,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_final_residual_relative_rms,Newton final residual rel RMS,1.1728,0.398139,0.943935,0.2641,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_initial_residual_relative_rms,Newton initial residual rel RMS,9.38238,3.1851,7.55146,2.1128,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_residual_decrease_fraction,Newton residual decrease,0.875,5.7735e-07,0.875,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_residual_ratio,Newton residual ratio,0.125,5.7735e-07,0.125,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
