Model,Load path,Seeds,Disp. rel. L2,History rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.
QP-aware thermo-hard HistoryGNO,monotonic,5,102.5345 +/- 49.7221,0.9974 +/- 0.0041,1.0005 +/- 0.0008,0.9944 +/- 0.0089,1.0010 +/- 0.0018,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9011 +/- 0.1634,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,78.9570 +/- 25.1218,59.0397 +/- 37.0301
QP-aware thermo-hard HistoryGNO,cyclic,5,96.2133 +/- 46.5057,0.9979 +/- 0.0034,1.0000 +/- 0.0001,0.9955 +/- 0.0073,1.0001 +/- 0.0001,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.8947 +/- 0.1761,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9999 +/- 0.0001,0.1362 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,82.2053 +/- 26.1598,3062.9384 +/- 1980.5496
