load_path,calibrated_field_coverage_95,calibrated_field_crps,calibrated_field_ece,calibrated_field_interval_width_95,calibrated_field_nll,calibrated_field_sharpness,calibrated_field_spread_scale,calibrated_history_coverage_95,calibrated_history_ece,calibrated_history_nll,calibrated_history_posterior_std,calibrated_history_spread_scale,calibrated_material_parameter_coverage_95,calibrated_material_parameter_ece,calibrated_material_parameter_nll,calibrated_material_parameter_posterior_std,calibrated_material_parameter_spread_scale,field_coverage_95,field_crps,field_ece,field_interval_width_95,field_nll,field_sharpness,history_coverage_95,history_ece,history_final_relative_l2,history_nll,history_posterior_std,history_relative_l2,inversion_final_loss,material_parameter_coverage_95,material_parameter_ece,material_parameter_mae,material_parameter_nll,material_parameter_posterior_std,material_parameter_relative_l2,posterior_calibration_num_calibration,posterior_calibration_num_test,rollout_displacement_relative_l2,sparse_observation_relative_l2,sparse_observation_rmse
monotonic,0.7486979365348816,0.08650414645671844,0.13499347865581512,0.42201048135757446,-0.28168874979019165,0.14604848623275757,10000.0,0.7515625357627869,0.15351560711860657,4330.380859375,7.688346862792969,10000.0,0.9583333730697632,0.17083337903022766,0.9437938928604126,48.23661804199219,368.5906982421875,0.00048828125,0.09161703288555145,0.7870930433273315,3.960269896197133e-05,924313.0,1.3568993381340988e-05,0.0054687499068677425,0.782519519329071,0.6425564289093018,135052.109375,0.0007230749470181763,0.7424774169921875,21761.408203125,0.0,0.7874999642372131,1.9920930862426758,5652.0302734375,0.11481887102127075,0.1288890242576599,4.0,4.0,4.998183250427246,5.635887145996094,0.1471734195947647
unload_reload,0.7109375,0.07249926030635834,0.16949868202209473,0.23079046607017517,-0.24171458184719086,0.08044487237930298,10000.0,0.70458984375,0.1778564304113388,1101.318359375,5.673388957977295,10000.0,1.0,0.12916669249534607,0.6188620328903198,13.546035766601562,283.43145751953125,0.00032552084303461015,0.08932970464229584,0.7871744632720947,2.3238388166646473e-05,876289.6875,8.0585105024511e-06,0.07568359375,0.712109386920929,0.6605430841445923,172217.109375,0.0005599380820058286,0.6620031595230103,22683.1875,0.0,0.7874999642372131,1.9210566282272339,5953.1796875,0.045417409390211105,0.11475865542888641,4.0,4.0,3.7141036987304688,5.092060565948486,0.15024292469024658
cyclic,0.73046875,0.08925267308950424,0.13686522841453552,0.5257300734519958,0.2584863603115082,0.16716164350509644,10000.0,0.8267578482627869,0.10788573324680328,34.47361373901367,8.58200454711914,10000.0,1.0,0.19166667759418488,0.9343439340591431,65.89993286132812,378.65631103515625,0.0008138021221384406,0.09364281594753265,0.7867676019668579,3.989323886344209e-05,917985.5,1.302277269132901e-05,0.09086914360523224,0.6971435546875,1.923829436302185,183275.0,0.0007251283968798816,0.6574139595031738,24399.12890625,0.0,0.7874999642372131,1.8367624282836914,4724.18310546875,0.11795715987682343,0.10504446923732758,4.0,4.0,3.00563383102417,7.658942222595215,0.15594236552715302
nonproportional,0.8079427480697632,0.10464643687009811,0.10903318226337433,0.6766893267631531,-0.06960351020097733,0.22957900166511536,10000.0,0.7704637050628662,0.13681957125663757,37.07480239868164,10.121381759643555,10000.0,1.0,0.16041667759418488,0.7518569827079773,77.88304901123047,270.5388488769531,0.00048828125,0.08085018396377563,0.7870523929595947,7.680215639993548e-05,744536.75,2.6203302695648745e-05,0.0805443525314331,0.7072958946228027,1.2466340065002441,352666.78125,0.001097849104553461,0.5905669927597046,22928.98828125,0.0,0.7874999642372131,2.8762855529785156,4176.3505859375,0.31535422801971436,0.1720929741859436,4.0,4.0,2.2896392345428467,6.557865619659424,0.15096502006053925
random_amplitude,0.8479818105697632,0.1206618994474411,0.08689776062965393,0.9119037389755249,0.22182708978652954,0.3061778247356415,10000.0,0.8257936835289001,0.1091269701719284,2920.8291015625,12.833309173583984,10000.0,1.0,0.08750002086162567,0.29992759227752686,52.488746643066406,118.82599639892578,0.0006510416860692203,0.08736085891723633,0.7870117425918579,6.301476969383657e-05,817250.6875,2.134067108272575e-05,0.06736110895872116,0.7205605506896973,0.6280354857444763,194709.890625,0.0009546396322548389,0.7165622115135193,22479.09765625,0.02083333395421505,0.7718750238418579,2.0527379512786865,2736.345703125,0.2704901695251465,0.13618458807468414,4.0,4.0,2.875737190246582,35.62017822265625,0.14941315352916718
pre_stress,0.7216796875,0.08174750208854675,0.13889971375465393,0.4701630473136902,-0.5491307973861694,0.1662614643573761,10000.0,0.8044354915618896,0.11101309955120087,2881.175048828125,8.132431030273438,10000.0,0.875,0.04791666567325592,0.397111177444458,20.958621978759766,142.95692443847656,0.0006510416860692203,0.0953296646475792,0.7870931029319763,4.4753873225999996e-05,988176.625,1.5600357073708437e-05,0.018145160749554634,0.7697328329086304,0.6507135629653931,146821.078125,0.0007853099377825856,0.7841642498970032,23815.6953125,0.0,0.7874999642372131,3.355652332305908,6484.0517578125,0.13853558897972107,0.19817274808883667,4.0,4.0,7.12031364440918,6.246728420257568,0.15430396795272827
