seed,load_path,sparse_observation_relative_l2,rollout_displacement_relative_l2,material_parameter_relative_l2,material_parameter_mae,material_parameter_coverage_95,material_parameter_ece,material_parameter_nll,material_parameter_posterior_std,calibrated_material_parameter_coverage_95,calibrated_material_parameter_ece,calibrated_material_parameter_nll,calibrated_material_parameter_spread_scale,calibrated_material_parameter_posterior_std,history_relative_l2,history_final_relative_l2,history_coverage_95,history_ece,history_nll,history_posterior_std,calibrated_history_coverage_95,calibrated_history_ece,calibrated_history_nll,calibrated_history_spread_scale,calibrated_history_posterior_std,field_coverage_95,field_ece,field_nll,field_crps,field_sharpness,field_interval_width_95,calibrated_field_coverage_95,calibrated_field_ece,calibrated_field_nll,calibrated_field_crps,calibrated_field_sharpness,calibrated_field_interval_width_95,calibrated_field_spread_scale,posterior_calibration_num_calibration,posterior_calibration_num_test,inversion_final_loss
20260517,cyclic,1.503548861,0.8705761433,0.2149080485,4.111573696,0.02083333395,0.7718750238,13772.80371,0.1037461609,0.8333333731,0.06874997914,2.666352749,93.64961243,7.259613991,0.7506652474,1.733846188,0.1015136763,0.6877319217,213314.4062,0.0008028894663,0.8336914182,0.120629862,1035.353882,10000,5.410443306,0.0001627604215,0.7873779535,77007.75,0.02624804527,1.404876821e-05,4.108688154e-05,0.953125,0.1202962399,-1.286801219,0.03938493133,0.123077713,0.3580331504,10000,4,4,560.5722656
20260518,cyclic,1.615796447,1.225183606,0.3227863014,5.941732407,0.08333333582,0.7302083373,7473489.5,0.4924762249,1,0.212500006,4.304585457,10000,70.57026672,0.7740654945,2.282830477,0.07641601562,0.7122924924,132552.0312,0.003534793621,0.910253942,0.119897455,110.7805939,10000,10.21220589,0.0001627604215,0.7873372436,103845.1875,0.03920959681,0.0002016921935,0.0004708954075,0.8772786856,0.07613930106,-0.433057785,0.03252093494,0.07191249728,0.2122890949,10000,4,4,2232.011963
20260519,cyclic,1.644908547,1.140306354,0.07761237025,1.374222517,0,0.7874999642,137865.4062,0.01262166165,0.7916666865,0.1520833075,36.50237274,85.61739349,0.5102021694,0.8889095783,3.895691395,0.005468749907,0.7828003168,117829.5,0.0006788342143,0.8801757693,0.110107407,349.0888062,10000,6.828757763,0.0001627604215,0.7873372436,132124.5625,0.03566258773,4.78671609e-06,1.422669629e-05,0.544921875,0.2824544311,29.73425865,0.03434184194,0.051846385,0.1607897878,10000,4,4,2015.166016
20260520,cyclic,0.9872616529,0.837448895,0.231880486,4.440144062,0,0.7874999642,5655.352539,0.06590706855,0.9166666865,0.01458333433,0.8997117877,123.2140121,7.350106716,0.950720489,3.227573395,0.04121093825,0.7481201291,335135.9062,0.002988758031,0.9091796875,0.08059082925,4138.749023,10000,45.70850372,0.0009765625,0.786686182,71254.39844,0.02646465972,2.267699165e-05,6.557515735e-05,0.986002624,0.169205755,-0.7821577787,0.07125671953,0.2445085645,0.7269558907,10000,4,4,741.3180542
20260521,cyclic,1.097265005,1.048930168,0.2098667324,3.977388382,0.04166666791,0.7510416508,953.2015991,0.08826260269,0.9166666865,0.07291667163,0.09064235538,64.16124725,5.398534298,0.9277895689,4.510958195,0.009667969309,0.7790527344,142686.9844,0.001108983182,0.9408203363,0.1385742277,2.196569443,10000,12.70171356,0.002115885494,0.7859131098,101340.3594,0.02996034548,5.616699491e-05,0.0001708983909,0.952799499,0.1386881918,-0.5774120092,0.0625398308,0.2153821439,0.6392651796,4233.158203,4,4,1241.361572
20260517,nonproportional,1.065924406,0.9506977797,0.2455658615,4.38441658,0.04166666791,0.7562500238,1484.123291,0.1280499399,1,0.1187500209,0.5747392774,94.5054245,14.25101757,0.9442391992,0.9182099104,0.09410282224,0.6959299445,223841.9844,0.00179694558,0.8135080338,0.09155747294,8453.954102,10000,20.47660255,0.001139322994,0.7865234613,128355.2734,0.03501963615,1.671109021e-05,4.930603245e-05,0.8929036856,0.1202473789,-0.5192734599,0.05857433006,0.1994720697,0.6075196266,10000,4,4,1120.561401
20260518,nonproportional,1.164304614,1.104208827,0.2093827277,3.936695576,0.3125,0.5062499642,19778.71094,3.22166419,0.9166666865,0.07291667163,2.396373749,231.5106812,544.8822632,0.6810446382,1.455356002,0.09158266336,0.6984500885,76518.19531,0.02845552377,0.9268144965,0.09057460725,46.99537659,10000,200.4984894,0.007161458489,0.781111598,53211.29297,0.04017780721,0.001181441359,0.002571246354,0.991861999,0.1312011927,0.986002624,3.665480614,8.764194489,19.80056381,10000,4,4,1735.83728
20260519,nonproportional,21.18912697,0.9210791588,0.1665126383,2.626604319,0.0625,0.7354166508,2678.946289,0.09066861868,0.625,0.2354166508,0.5572729707,64.93574524,3.180872917,0.7009470463,2.090044737,0.005796371028,0.7825226784,176217.2656,0.0008831427549,0.8420363069,0.1119455546,137.0140076,10000,7.746317387,0.0006510416861,0.787052393,120481.6406,0.03521372005,1.701832298e-05,4.972870738e-05,0.7626953125,0.1194498688,-0.6797018051,0.0336285159,0.06903934479,0.203750819,5867.69043,4,4,1078.552368
20260520,nonproportional,5819650048,0.8981884718,0.2026945651,3.48743391,0,0.7874999642,3224.421387,0.04878928512,0.9166666865,0.05208334327,0.2710472941,143.5236511,4.763700485,0.8028935194,2.075213909,0.01370967738,0.7744581699,420751.5625,0.001058334135,0.8314515948,0.1157258004,6104.29248,10000,12.24125004,0.0008138021221,0.7868489027,114567.2422,0.03470252082,1.528575012e-05,4.535143307e-05,0.8792318106,0.07223305106,-0.6519321203,0.03479555994,0.09279990196,0.2826681733,7194.936035,4,4,1021.672852
20260521,nonproportional,1333510272,1.054144621,0.2616022527,4.719418526,0.02083333395,0.7718750238,1519.525757,0.07922324538,1,0.1708333492,0.6187608242,112.7821655,10.20787048,0.7373077869,2.557328463,0.004889112897,0.7831904888,236236.9531,0.001116139814,0.887701571,0.1064768136,14.41583157,10000,13.18044186,0.001139322994,0.7865641117,142188.3906,0.03630562127,4.966298729e-05,0.0001480375795,0.9622396231,0.161800161,-0.1685926318,0.09889939427,0.3237841129,0.9497808218,5756.715332,4,4,544.9353638
20260517,pre_stress,1.467209101,1.199471831,0.3169610202,5.409107208,0.0625,0.7406249642,1572.056641,0.1439414173,1,0.1708333492,0.4166476727,107.74086,18.24425697,0.8013860583,0.7588490248,0.05413306504,0.7357358932,175481.1094,0.005595488939,0.8494959474,0.1268649101,2963.897949,10000,9.937797546,0.0001627604215,0.7873372436,28034.43359,0.01751997694,1.856344716e-05,5.478776802e-05,0.9814453125,0.1579752862,-1.700048208,0.02759892866,0.08720697463,0.2541439533,4183.536621,4,4,799.7265625
20260518,pre_stress,1.213448167,1.327412367,0.3095836639,5.266651154,0,0.7874999642,182112.0625,0.009358322248,0.9583333731,0.1291667074,2.055745602,755.7684326,6.581611633,0.8532603383,0.6408740282,0.02399193496,0.7644783258,1132695.375,0.0007169636665,0.8679435253,0.1255040318,2456.702637,10000,6.976005554,0,0.7874999642,34335.77344,0.01936024986,1.70409312e-05,5.060888361e-05,0.71875,0.1454915255,-1.228969812,0.01654339582,0.03224006295,0.09625703096,2034.530396,4,4,448.1540527
20260519,pre_stress,1.263868213,1.24548769,0.1664077491,2.740159512,0,0.7874999642,142987.4375,0.04515029117,1,0.212500006,3.747574806,2631.55127,224.0480194,0.6751355529,0.3288605809,0.02132056467,0.7670236826,115987.8438,0.002434472088,0.9085685611,0.1247983724,22.33561897,10000,41.56304932,0.0001627604215,0.7873779535,30227.32812,0.02019065432,9.740276255e-06,2.762079748e-05,0.958658874,0.164485693,-1.089638472,0.05079156905,0.1481858641,0.4146537781,10000,4,4,526.671936
20260520,pre_stress,1.347130537,1.237798452,0.298955977,4.970876694,0.02083333395,0.7770833373,3998.291748,0.06411471963,1,0.2020833492,1.02018404,220.1413269,17.13373947,0.7013550401,0.4097828567,0.03119959682,0.7578376532,341788.7812,0.001840607729,0.8948588371,0.1189264059,57.96706009,10000,11.85835552,0.0009765625,0.7867268324,29855.15625,0.01967640594,2.447557017e-05,7.270452625e-05,0.9163411856,0.04663087428,-2.005996466,0.01917604171,0.05355020612,0.1604925841,2280.767334,4,4,1047.570068
20260521,pre_stress,1.075147986,1.080358386,0.3609839678,6.223734856,0,0.7874999642,2265.460693,0.06182122231,1,0.1604166776,1.04722476,170.0109711,11.63228226,0.7613810897,0.2727159262,0.004939516075,0.7834425569,1406313.25,0.0008882623515,0.911391139,0.1251007915,6.480620861,10000,9.244132996,0.004069010727,0.7847737074,20326.46289,0.01266776025,3.79272351e-05,0.0001145338611,0.946940124,0.1024576873,-2.337875128,0.01417136472,0.04398801178,0.1337002218,1062.646118,4,4,1564.810669
20260517,random_amplitude,1.232345104,1.025129914,0.1749915481,3.255617857,0.02083333395,0.7666666508,1797.006836,0.1362738013,1,0.1500000209,0.4738259315,121.6532974,18.52644157,0.9433184266,0.9416267872,0.09608135372,0.6928819418,348924.0938,0.00135515118,0.8005952239,0.1254216135,5908.395508,10000,10.69676399,0.000325520843,0.7872152328,103844.7188,0.03295291588,1.746378621e-05,5.008275912e-05,0.9446614981,0.1212565154,-0.85633564,0.0616190955,0.1919017732,0.5352720022,10000,4,4,3357.373535
20260518,random_amplitude,1.309421539,1.071799517,0.2390467674,4.226953506,0.1458333433,0.6677083373,516111.375,1.736126661,1,0.2020833492,4.748813629,4620.23877,11590.75293,0.7744896412,0.7614736557,0.09657738358,0.6973586082,639903.625,0.01379744802,0.899305582,0.1129464209,1408.919434,10000,203.1204834,0.01090494823,0.7795247436,94346.39844,0.03308901191,0.0006500178715,0.001543827704,0.947265625,0.07430015504,0.8253294826,4.006646633,9.297613144,21.61109734,10000,4,4,2518.769043
20260519,random_amplitude,2.965256453,0.8464679122,0.1704948395,3.034696102,0,0.7874999642,102839.0547,0.02774651349,1,0.1812500209,2.275282383,1205.019165,60.98171234,0.7693352699,0.3434268236,0.008432540111,0.7799230814,173319.6406,0.0007876495365,0.8746032119,0.1164434254,453.3618164,10000,9.046330452,0.000325520843,0.787337184,70799.70312,0.02717757225,6.749046406e-06,1.991124736e-05,0.83203125,0.1158528626,-0.8167729378,0.03339039907,0.09729322046,0.2845841348,10000,4,4,1084.450439
20260520,random_amplitude,1.540603161,0.982345283,0.1930638105,3.883061171,0,0.7874999642,10849.99609,0.0404869616,1,0.2020833492,1.428523064,353.6873779,14.94850159,0.779937923,0.3925319314,0.0229662694,0.7658606172,347843.5,0.001674594008,0.8677579761,0.1218997836,2552.820557,10000,22.94140434,0.0006510416861,0.7870117426,95223.10938,0.03273619711,1.757743667e-05,5.222088657e-05,0.9983724356,0.1913411617,-0.79778862,0.06997767091,0.2360456437,0.7110414505,10000,4,4,1180.692749
