load_path,field_coverage_95,field_crps,field_ece,field_interval_width_95,field_sharpness,history_coverage_95,history_ece,history_final_relative_l2,history_posterior_std,history_relative_l2,inversion_final_loss,material_parameter_coverage_95,material_parameter_ece,material_parameter_mae,material_parameter_posterior_std,material_parameter_relative_l2,rollout_displacement_relative_l2,sparse_observation_relative_l2,sparse_observation_rmse
cyclic,0.0006510416860692203,0.015887168236076832,0.7868489325046539,9.187037358060479e-05,3.863888923660852e-05,0.11855468899011612,0.6689453125,0.8878132402896881,4.310931763029657e-05,0.9951220452785492,363.3861541748047,0.0,0.7874999642372131,2.927412748336792,0.16857458651065826,0.1685665026307106,0.8430503308773041,0.8291270434856415,0.018830989487469196
nonproportional,0.00390625,0.022910763509571552,0.7845702767372131,0.00013805232447339222,5.537370452657342e-05,0.09140624850988388,0.6962402164936066,0.9874504208564758,5.357196459954139e-05,0.9932782351970673,659.7615814208984,0.0833333358168602,0.7249999940395355,1.5871182680130005,0.13979655504226685,0.0807501319795847,0.8535374104976654,0.8299759030342102,0.02418394386768341
random_amplitude,0.0013020833721384406,0.023764691315591335,0.7863606810569763,5.89446190133458e-05,2.4220858904300258e-05,0.09435483440756798,0.6931451559066772,0.995455414056778,3.646675486379536e-05,0.9946138560771942,1978.8489990234375,0.0,0.7874999642372131,0.8072969615459442,0.0995510146021843,0.038246145471930504,0.8506765365600586,0.8609729707241058,0.04440638981759548
pre_stress,0.005208333663176745,0.018588404171168804,0.7829427123069763,0.00019862527551595122,8.441299542027991e-05,0.06805555708706379,0.7195932567119598,0.9958131313323975,0.00010016779197030701,0.9963792562484741,1554.2223205566406,0.0,0.7874999642372131,0.9281228184700012,0.3114895522594452,0.03666983637958765,0.8882787525653839,0.863815426826477,0.03694063611328602
