load_path,calibrated_field_coverage_95,calibrated_field_crps,calibrated_field_ece,calibrated_field_interval_width_95,calibrated_field_nll,calibrated_field_sharpness,calibrated_field_spread_scale,calibrated_history_coverage_95,calibrated_history_ece,calibrated_history_nll,calibrated_history_posterior_std,calibrated_history_spread_scale,calibrated_material_parameter_coverage_95,calibrated_material_parameter_ece,calibrated_material_parameter_nll,calibrated_material_parameter_posterior_std,calibrated_material_parameter_spread_scale,field_coverage_95,field_crps,field_ece,field_interval_width_95,field_nll,field_sharpness,history_coverage_95,history_ece,history_final_relative_l2,history_nll,history_posterior_std,history_relative_l2,inversion_final_loss,material_parameter_coverage_95,material_parameter_ece,material_parameter_mae,material_parameter_nll,material_parameter_posterior_std,material_parameter_relative_l2,posterior_calibration_num_calibration,posterior_calibration_num_test,rollout_displacement_relative_l2,sparse_observation_relative_l2,sparse_observation_rmse
unload_reload,0.875,0.8328740000724792,0.13749998807907104,3.1205339431762695,1.5729154348373413,1.6423860788345337,9352.51171875,0.8125,0.11562499403953552,2501556.5,0.830177903175354,10000.0,0.8333333134651184,0.09583333134651184,2.7210562229156494,7.336495876312256,286.582763671875,0.0,0.17288337647914886,0.7874999642372131,0.00026784453075379133,841998.75,0.0001409694814356044,0.09687499701976776,0.6906249523162842,0.12730152904987335,2943287.5,8.370190334971994e-05,0.6345498561859131,42177.9140625,0.0,0.7874999642372131,0.7169831395149231,105276.6796875,0.02319534309208393,0.03775559738278389,1.0,1.0,6.2199835777282715,64.89234161376953,0.2052600085735321
cyclic,0.875,0.4409487545490265,0.13402776420116425,1.6324002742767334,0.8734123706817627,0.8591579794883728,10000.0,0.7749999761581421,0.13906250894069672,3439623.25,0.5973052978515625,10000.0,0.8333333134651184,0.13749998807907104,2.1144399642944336,28.27962303161621,2781.714111328125,0.0,0.17814260721206665,0.7874999642372131,0.00023885371047072113,1010162.75,0.00012571238039527088,0.08437500149011612,0.703125,1.6984096765518188,3426460.0,4.868786709266715e-05,0.6840903759002686,52306.18359375,0.0,0.7874999642372131,2.35903000831604,1379033.375,0.013523929752409458,0.12621167302131653,1.0,1.0,4.985951900482178,3.195587158203125,0.22877627611160278
nonproportional,0.9027777910232544,0.453376829624176,0.13055554032325745,1.718198299407959,0.5734028220176697,0.9043146967887878,10000.0,0.875,0.12656249105930328,4696716.5,2.036475896835327,10000.0,1.0,0.17083333432674408,0.3774496614933014,2.456278085708618,263.48291015625,0.0,0.174274742603302,0.7874999642372131,0.00013530983414966613,1624358.125,7.12154942448251e-05,0.05000000074505806,0.7374999523162842,8.930274963378906,5392283.0,0.0001268816995434463,1.0125560760498047,42517.23828125,0.0,0.7874999642372131,1.2668792009353638,6502.611328125,0.00829621683806181,0.06593331694602966,1.0,1.0,6.228545665740967,85.5584716796875,0.20612722635269165
random_amplitude,0.6944444179534912,0.17212480306625366,0.18680554628372192,0.5175697803497314,42.76569366455078,0.27240514755249023,10000.0,0.800000011920929,0.13124999403953552,2527723.25,0.2063329666852951,10000.0,0.8333333134651184,0.09583333134651184,-0.32203754782676697,3.974200487136841,361.7729797363281,0.0,0.17044013738632202,0.7874999642372131,0.0001354860869469121,1423703.0,7.130764424800873e-05,0.09062500298023224,0.6968750357627869,0.07762068510055542,4532640.5,2.873280391213484e-05,0.9497486352920532,43033.51171875,0.0,0.7874999642372131,1.0687333345413208,8872.79296875,0.015179864130914211,0.054453808814287186,1.0,1.0,12.73892879486084,138.89871215820312,0.20678217709064484
pre_stress,0.875,0.5233100652694702,0.13749998807907104,1.9654412269592285,0.7427855730056763,1.034442663192749,10000.0,0.887499988079071,0.1093749850988388,3439266.0,0.0931568294763565,10000.0,0.8333333134651184,0.07916666567325592,-0.4385981857776642,2.4994752407073975,192.4857635498047,0.0,0.1701788455247879,0.7874999642372131,0.00019000250904355198,1001460.6875,0.00010000130714615807,0.10312499850988388,0.684374988079071,0.10430217534303665,4724477.0,3.8717851566616446e-05,0.9254378080368042,44399.88671875,0.0833333358168602,0.7041666507720947,0.8462996482849121,4344.64306640625,0.01297133881598711,0.05467333644628525,1.0,1.0,10.942498207092285,5.6725239753723145,0.21051086485385895
