Ablation,Ablation id,Solver mode,Newton damping,Newton steps,Line search,Regularization,Model,Load path,Metric,Metric label,Mean,Std,Median,IQR,Seeds,Source
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,cyclic,fem_newton_failure_rate,Newton failure rate,0,0,0,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,displacement_relative_l2,rollout disp rel L2,65.6731,44.5006,34.5598,87.5936,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,final_displacement_relative_l2,final disp rel L2,79.4521,57.1675,43.1878,111.184,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,qp_history_relative_l2,QP history rel L2,1.87325,0.534378,2.12258,0.68806,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,qp_history_increment_relative_l2,QP history-inc rel L2,2.62908,0.929083,2.91248,1.10677,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,qp_reversal_eqp_increment_relative_l2,QP reversal eqp-inc rel L2,0,0,0,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,qp_reversal_plastic_work_increment_relative_l2,QP reversal work-inc rel L2,0,0,0,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,qp_reversal_yield_flag_mae,QP reversal yield MAE,0,0,0,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_residual_relative_rms,FEM residual rel RMS,10.9791,6.38953,9.20114,8.67499,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_energy_relative_error,FEM energy rel err,31.9919,25.0332,21.0457,40.768,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_solver_linearized_residual_relative_rms,FEM tangent-solver rel RMS,61.7082,41.4559,31.8178,78.3305,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_initial_residual_relative_rms,Newton initial residual rel RMS,10.4871,6.1533,8.95077,8.51521,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_final_residual_relative_rms,Newton final residual rel RMS,0.000271177,0.000245603,0.00020638,0.000100535,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
