Case,Protocol,Model,Seeds,Cyclic disp rel L2,Cyclic history rel L2,Reversal hist-inc rel L2,Yield-surface RMS,Plastic-work violation target-norm,FEM residual rel RMS,FEM energy rel err
notch_14x11,curriculum,hano,5,495.3 +/- 165,3.064 +/- 1.288,1.005 +/- 0.004101,0.3762 +/- 0.4335,875.1 +/- 733.6,,
notch_14x11,curriculum,incde,5,352.6 +/- 183,0.8584 +/- 0.01972,1.005 +/- 0.009125,0.1619 +/- 0.01492,0 +/- 0,,
notch_14x11,curriculum,tinn,5,352.8 +/- 183,0.9902 +/- 0.01007,0.9972 +/- 0.005606,0.0008056 +/- 0.001608,0 +/- 0,,
notch_14x11,curriculum,static_gno_sequence,5,112 +/- 53.6,0.8591 +/- 0.01859,1 +/- 0.000305,0.1388 +/- 0.01086,4.189 +/- 5.174,,
notch_14x11,curriculum,static_deeponet_sequence,5,8.512 +/- 1.026,0.8576 +/- 0.01588,1 +/- 0.0002469,0.144 +/- 0.02651,3.742 +/- 4.501,,
notch_14x11,upper_bound,hgo_thermo_hard,5,120.2 +/- 61.16,1.34 +/- 0.006942,1.056 +/- 0.0814,0.0006683 +/- 0.0005134,9.092e-10 +/- 1.818e-09,,
notch_14x11,upper_bound,hgo_data,5,132.2 +/- 86.92,7.918 +/- 0.9628,2.136 +/- 0.2296,0.4631 +/- 0.03421,1.513e+05 +/- 1.118e+05,,
notch_14x11,upper_bound,hano,5,540.9 +/- 189,3.28 +/- 1.498,1.002 +/- 0.002466,0.6022 +/- 0.6065,305.4 +/- 344.9,,
notch_14x11,upper_bound,incde,5,327.8 +/- 190.1,0.8369 +/- 0.006517,1.008 +/- 0.009728,0.1737 +/- 0.008972,0 +/- 0,,
notch_14x11,upper_bound,tinn,5,327.7 +/- 190.1,0.9918 +/- 0.00232,0.9996 +/- 0.0007961,0.0002974 +/- 0.0004599,0 +/- 0,,
notch_14x11,upper_bound,static_gno_sequence,5,114.3 +/- 50.15,0.8374 +/- 0.004389,1 +/- 0.0003691,0.1562 +/- 0.006693,2.535 +/- 3.626,,
notch_14x11,upper_bound,static_deeponet_sequence,5,5.845 +/- 1.115,0.8356 +/- 0.005723,1 +/- 0.0002396,0.1658 +/- 0.0207,2.178 +/- 2.49,,
curved_hole_14x11,strict,hgo_thermo_hard,5,153.1 +/- 81.85,1.121 +/- 0.008973,1.076 +/- 0.1075,0.0004608 +/- 0.0004192,4.007e-09 +/- 8.014e-09,,
curved_hole_14x11,strict,hgo_data,5,174.4 +/- 76.66,6.993 +/- 1.083,3.431 +/- 0.5449,0.4709 +/- 0.02534,1.293e+05 +/- 9.061e+04,,
curved_hole_14x11,strict,hano,5,683 +/- 353.5,2.778 +/- 1.082,1.072 +/- 0.08902,0.2756 +/- 0.2593,4493 +/- 5849,,
curved_hole_14x11,strict,incde,5,421.9 +/- 221.4,0.9021 +/- 0.07342,1.001 +/- 0.008062,0.1263 +/- 0.03736,0 +/- 0,,
curved_hole_14x11,strict,tinn,5,421.8 +/- 221.4,0.9821 +/- 0.02555,1.049 +/- 0.09868,0.001145 +/- 0.002287,0 +/- 0,,
curved_hole_14x11,strict,static_gno_sequence,5,115.1 +/- 59.93,0.8988 +/- 0.04724,0.9998 +/- 0.0003488,0.2033 +/- 0.158,9.281 +/- 9.141,,
curved_hole_14x11,strict,static_deeponet_sequence,5,11.55 +/- 2.38,0.9053 +/- 0.05311,0.9999 +/- 0.0003491,0.1161 +/- 0.03748,4.24 +/- 6.353,,
curved_hole_14x11,curriculum,hgo_thermo_hard,5,101.1 +/- 47.38,1.126 +/- 0.005201,1.147 +/- 0.221,0.0006251 +/- 0.0005071,3.056e-09 +/- 4.027e-09,,
curved_hole_14x11,curriculum,hgo_data,5,115.8 +/- 62.37,7.057 +/- 0.962,3.472 +/- 0.4858,0.4666 +/- 0.03038,1.349e+05 +/- 9.699e+04,,
curved_hole_14x11,curriculum,hano,5,354.3 +/- 111.1,2.784 +/- 1.159,1.017 +/- 0.01459,0.3617 +/- 0.4186,831.9 +/- 707.9,,
curved_hole_14x11,curriculum,incde,5,261.4 +/- 132.1,0.8199 +/- 0.01609,0.995 +/- 0.01028,0.192 +/- 0.01709,0 +/- 0,,
curved_hole_14x11,curriculum,tinn,5,261.6 +/- 132.1,0.9913 +/- 0.00848,1.003 +/- 0.006005,0.0009194 +/- 0.001835,0 +/- 0,,
curved_hole_14x11,curriculum,static_gno_sequence,5,82.38 +/- 39.59,0.8231 +/- 0.01721,0.9997 +/- 0.0003685,0.1613 +/- 0.01204,3.888 +/- 4.838,,
curved_hole_14x11,curriculum,static_deeponet_sequence,5,6.417 +/- 0.8255,0.8187 +/- 0.01337,0.9999 +/- 0.0003181,0.1717 +/- 0.03015,3.451 +/- 4.028,,
curved_hole_14x11,upper_bound,hgo_thermo_hard,5,89.42 +/- 46.18,1.124 +/- 0.002299,1.09 +/- 0.1239,0.0004133 +/- 0.0004763,0 +/- 0,,
curved_hole_14x11,upper_bound,hgo_data,5,96.04 +/- 63.48,7.111 +/- 0.8529,3.508 +/- 0.436,0.4634 +/- 0.03511,1.404e+05 +/- 1.031e+05,,
curved_hole_14x11,upper_bound,hano,5,372.2 +/- 123.7,2.958 +/- 1.312,1.007 +/- 0.005617,0.4951 +/- 0.5624,221 +/- 172.4,,
curved_hole_14x11,upper_bound,incde,5,238.7 +/- 140.4,0.7911 +/- 0.003476,0.9915 +/- 0.01012,0.2095 +/- 0.01557,0 +/- 0,,
curved_hole_14x11,upper_bound,tinn,5,238.6 +/- 140.4,0.9921 +/- 0.004743,1.001 +/- 0.002473,0.0006864 +/- 0.001221,0 +/- 0,,
curved_hole_14x11,upper_bound,static_gno_sequence,5,83.74 +/- 37.34,0.793 +/- 0.004451,0.9997 +/- 0.0004469,0.1904 +/- 0.009962,2.38 +/- 3.444,,
curved_hole_14x11,upper_bound,static_deeponet_sequence,5,4.424 +/- 0.8084,0.7938 +/- 0.006089,0.9998 +/- 0.0003014,0.1982 +/- 0.02648,2.025 +/- 2.333,,
