load_path,metric,mean,std,median,iqr,min,max,n
cyclic,sparse_observation_relative_l2,3.195587158203125,0.0,3.195587158203125,0.0,3.195587158203125,3.195587158203125,1
cyclic,rollout_displacement_relative_l2,4.985951900482178,0.0,4.985951900482178,0.0,4.985951900482178,4.985951900482178,1
cyclic,material_parameter_relative_l2,0.12621167302131653,0.0,0.12621167302131653,0.0,0.12621167302131653,0.12621167302131653,1
cyclic,material_parameter_mae,2.35903000831604,0.0,2.35903000831604,0.0,2.35903000831604,2.35903000831604,1
cyclic,material_parameter_coverage_95,0.0,0.0,0.0,0.0,0.0,0.0,1
cyclic,material_parameter_ece,0.7874999642372131,0.0,0.7874999642372131,0.0,0.7874999642372131,0.7874999642372131,1
cyclic,material_parameter_nll,1379033.375,0.0,1379033.375,0.0,1379033.375,1379033.375,1
cyclic,material_parameter_posterior_std,0.013523929752409458,0.0,0.013523929752409458,0.0,0.013523929752409458,0.013523929752409458,1
cyclic,calibrated_material_parameter_coverage_95,0.8333333134651184,0.0,0.8333333134651184,0.0,0.8333333134651184,0.8333333134651184,1
cyclic,calibrated_material_parameter_ece,0.13749998807907104,0.0,0.13749998807907104,0.0,0.13749998807907104,0.13749998807907104,1
cyclic,calibrated_material_parameter_nll,2.1144399642944336,0.0,2.1144399642944336,0.0,2.1144399642944336,2.1144399642944336,1
cyclic,calibrated_material_parameter_spread_scale,2781.714111328125,0.0,2781.714111328125,0.0,2781.714111328125,2781.714111328125,1
cyclic,calibrated_material_parameter_posterior_std,28.27962303161621,0.0,28.27962303161621,0.0,28.27962303161621,28.27962303161621,1
cyclic,history_relative_l2,0.6840903759002686,0.0,0.6840903759002686,0.0,0.6840903759002686,0.6840903759002686,1
cyclic,history_final_relative_l2,1.6984096765518188,0.0,1.6984096765518188,0.0,1.6984096765518188,1.6984096765518188,1
cyclic,history_coverage_95,0.08437500149011612,0.0,0.08437500149011612,0.0,0.08437500149011612,0.08437500149011612,1
cyclic,history_ece,0.703125,0.0,0.703125,0.0,0.703125,0.703125,1
cyclic,history_nll,3426460.0,0.0,3426460.0,0.0,3426460.0,3426460.0,1
cyclic,history_posterior_std,4.868786709266715e-05,0.0,4.868786709266715e-05,0.0,4.868786709266715e-05,4.868786709266715e-05,1
cyclic,calibrated_history_coverage_95,0.7749999761581421,0.0,0.7749999761581421,0.0,0.7749999761581421,0.7749999761581421,1
cyclic,calibrated_history_ece,0.13906250894069672,0.0,0.13906250894069672,0.0,0.13906250894069672,0.13906250894069672,1
cyclic,calibrated_history_nll,3439623.25,0.0,3439623.25,0.0,3439623.25,3439623.25,1
cyclic,calibrated_history_spread_scale,10000.0,0.0,10000.0,0.0,10000.0,10000.0,1
cyclic,calibrated_history_posterior_std,0.5973052978515625,0.0,0.5973052978515625,0.0,0.5973052978515625,0.5973052978515625,1
cyclic,field_coverage_95,0.0,0.0,0.0,0.0,0.0,0.0,1
cyclic,field_ece,0.7874999642372131,0.0,0.7874999642372131,0.0,0.7874999642372131,0.7874999642372131,1
cyclic,field_nll,1010162.75,0.0,1010162.75,0.0,1010162.75,1010162.75,1
cyclic,field_crps,0.17814260721206665,0.0,0.17814260721206665,0.0,0.17814260721206665,0.17814260721206665,1
cyclic,field_sharpness,0.00012571238039527088,0.0,0.00012571238039527088,0.0,0.00012571238039527088,0.00012571238039527088,1
cyclic,field_interval_width_95,0.00023885371047072113,0.0,0.00023885371047072113,0.0,0.00023885371047072113,0.00023885371047072113,1
cyclic,calibrated_field_coverage_95,0.875,0.0,0.875,0.0,0.875,0.875,1
cyclic,calibrated_field_ece,0.13402776420116425,0.0,0.13402776420116425,0.0,0.13402776420116425,0.13402776420116425,1
cyclic,calibrated_field_nll,0.8734123706817627,0.0,0.8734123706817627,0.0,0.8734123706817627,0.8734123706817627,1
cyclic,calibrated_field_crps,0.4409487545490265,0.0,0.4409487545490265,0.0,0.4409487545490265,0.4409487545490265,1
cyclic,calibrated_field_sharpness,0.8591579794883728,0.0,0.8591579794883728,0.0,0.8591579794883728,0.8591579794883728,1
cyclic,calibrated_field_interval_width_95,1.6324002742767334,0.0,1.6324002742767334,0.0,1.6324002742767334,1.6324002742767334,1
cyclic,calibrated_field_spread_scale,10000.0,0.0,10000.0,0.0,10000.0,10000.0,1
