load_path,displacement_loss,displacement_relative_l2,eq_plastic_strain_increment_relative_l2,eq_plastic_strain_relative_l2,final_displacement_relative_l2,final_eq_plastic_strain_relative_l2,final_history_relative_l2,final_plastic_multiplier_increment_relative_l2,final_plastic_work_relative_l2,final_von_mises_relative_l2,final_yield_flag_mae,history_increment_relative_l2,history_loss,history_relative_l2,loss_elastic_overstress,loss_plastic_work_lower_bound,loss_yield_surface,plastic_multiplier_increment_relative_l2,plastic_work_increment_relative_l2,plastic_work_relative_l2,predicted_elastic_overstress_relative_violation,predicted_eq_plastic_strain_monotonic_violation,predicted_max_eq_plastic_strain,predicted_mean_plastic_work,predicted_negative_plastic_multiplier_violation,predicted_plastic_work_lower_bound_absolute_violation,predicted_plastic_work_lower_bound_relative_violation,predicted_plastic_work_lower_bound_target_normalized_violation,predicted_plastic_work_monotonic_violation,predicted_yield_flag_bounds_violation,predicted_yield_surface_relative_rms,reversal_eqp_increment_relative_l2,reversal_fraction,reversal_history_increment_relative_l2,reversal_plastic_work_increment_relative_l2,reversal_yield_flag_mae,target_elastic_overstress_relative_violation,target_eq_plastic_strain_monotonic_violation,target_max_eq_plastic_strain,target_mean_plastic_work,target_negative_plastic_multiplier_violation,target_path_newton_residual_relative,target_path_newton_residual_rms,target_plastic_work_lower_bound_absolute_violation,target_plastic_work_lower_bound_relative_violation,target_plastic_work_lower_bound_target_normalized_violation,target_plastic_work_monotonic_violation,target_yield_flag_bounds_violation,target_yield_surface_relative_rms,total_loss,von_mises_relative_l2,yield_flag_mae,total_loss_ratio,total_loss_delta,displacement_relative_l2_ratio,displacement_relative_l2_delta,history_relative_l2_ratio,history_relative_l2_delta,history_increment_relative_l2_ratio,history_increment_relative_l2_delta,eq_plastic_strain_relative_l2_ratio,eq_plastic_strain_relative_l2_delta,eq_plastic_strain_increment_relative_l2_ratio,eq_plastic_strain_increment_relative_l2_delta,plastic_work_relative_l2_ratio,plastic_work_relative_l2_delta,plastic_work_increment_relative_l2_ratio,plastic_work_increment_relative_l2_delta,plastic_multiplier_increment_relative_l2_ratio,plastic_multiplier_increment_relative_l2_delta,yield_flag_mae_ratio,yield_flag_mae_delta,von_mises_relative_l2_ratio,von_mises_relative_l2_delta,predicted_yield_surface_relative_rms_ratio,predicted_yield_surface_relative_rms_delta,predicted_elastic_overstress_relative_violation_ratio,predicted_elastic_overstress_relative_violation_delta,predicted_plastic_work_lower_bound_relative_violation_ratio,predicted_plastic_work_lower_bound_relative_violation_delta
monotonic,0.7413958311080933,0.861043393611908,0.9851239919662476,0.9854927659034729,0.8831060528755188,0.9842537641525269,0.2787012457847595,0.9792135953903198,0.9933484792709351,0.6851256489753723,0.014600297436118126,1.0160458087921143,0.14660462737083435,0.38288983702659607,6.264966697803125e-17,0.0,4.934817479806952e-05,0.9851239919662476,0.9937599301338196,0.9932279586791992,9.662503019924884e-10,0.0,0.004838067106902599,0.00012025095929857343,0.0,0.0,0.0,0.0,0.0,0.0,0.0016333069652318954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055512607097626,0.011179580353200436,0.0,1.4683066606521606,0.013224412687122822,0.0,0.0,0.0,0.0,0.0,5.758003496225683e-08,1.3783586025238037,0.6013762354850769,0.1113099604845047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unload_reload,0.8126764893531799,0.9014856815338135,0.9947728514671326,0.9899279475212097,0.8827582597732544,0.983879804611206,0.2696407735347748,0.9823495745658875,0.9931721091270447,0.6846705079078674,0.009191451594233513,1.0783555507659912,0.7267090082168579,0.8524722456932068,5.510373897154035e-16,0.0,0.004418214317411184,0.9947954416275024,0.9974511861801147,0.9952115416526794,7.792984590970775e-10,0.0,0.004832642152905464,0.00012182529462734237,0.0,0.0,0.0,0.0,0.0,0.0,0.0015875695971772075,22.29340362548828,0.3333333432674408,1.027140498161316,19.65850257873535,0.9638322591781616,0.0,0.0,0.304943710565567,0.01852869801223278,0.0,1.5678738355636597,0.015093673951923847,0.0,0.0,0.0,0.0,0.0,4.271387155085904e-08,2.453011989593506,0.5990568995475769,0.45787757635116577,1.779661682454761,1.0746533870697021,1.0469689312082844,0.04044228792190552,2.226416486562407,0.4695824086666107,1.061325721177819,0.06230974197387695,1.0045004710041385,0.004435181617736816,1.0097945635062917,0.00964885950088501,1.001997107467774,0.0019835829734802246,1.0037144343763167,0.003691256046295166,1.009817494792662,0.009671449661254883,4.113536419904724,0.34656761586666107,0.9961432863478066,-0.0023193359375,0.9719970776906629,-4.573736805468798e-05,0.8065182049517597,-1.869518428954109e-10,0.0,0.0
cyclic,0.8698287010192871,0.9326460957527161,0.9984471797943115,0.9924183487892151,0.878896951675415,0.9831200242042542,3.422109365463257,5.299325466156006,0.9929723739624023,0.3674249053001404,0.95836341381073,1.108591079711914,1.2862378358840942,1.1341242790222168,6.086733230948487e-16,1.251161991888339e-24,0.0062547409906983376,0.9986781477928162,0.9994135499000549,0.996800422668457,8.944759377627065e-10,0.0,0.008654086850583553,0.0001312584208790213,0.0,1.343963206375991e-14,2.3267353321809736e-10,2.3267353321809736e-10,0.0,0.0,0.001799456775188446,2.260101318359375,0.5,1.027259111404419,1.4177708625793457,0.9278377294540405,0.0,0.0,0.30415916442871094,0.029572630301117897,0.0,1.5379942655563354,0.013303408399224281,1.6437000371904986e-10,1.3680184984821153e-08,1.3680184984821153e-08,0.0,0.0,4.053076452237292e-08,3.5604774951934814,0.6370912790298462,0.6536104083061218,2.5831285767536634,2.1821188926696777,1.083158064590042,0.0716027021408081,2.962011966234139,0.7512344419956207,1.0910837583492605,0.0925452709197998,1.0070275329513891,0.0069255828857421875,1.0135243765624586,0.013323187828063965,1.003596821815214,0.0035724639892578125,1.0056891202742235,0.0056536197662353516,1.0137588323267972,0.013554155826568604,5.87198491007559,0.5423004478216171,1.0593888508347211,0.03571504354476929,1.1017260156806843,0.0001661498099565506,0.9257186630816289,-7.17743642297819e-11,232.67353321809736,2.3267353321809736e-10
nonproportional,0.8510438799858093,0.9225203990936279,0.99747234582901,0.9922274947166443,0.8786231279373169,0.984076738357544,2.613351821899414,6.035549163818359,0.9933546781539917,0.42767924070358276,0.9100751280784607,1.2517532110214233,0.8006587624549866,0.8947953581809998,4.663203307045806e-16,0.0,0.005685791373252869,0.9975541830062866,0.998977541923523,0.996708333492279,1.5153887034102809e-09,0.0,0.004838976543396711,0.00012302245886530727,0.0,0.0,0.0,0.0,0.0,0.0,0.0015842008870095015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3306017518043518,0.02634011022746563,0.0,1.537671446800232,0.017239205539226532,1.505881253027752e-10,1.5110506623727815e-08,1.5110506623727815e-08,0.0,0.0,4.140971299193552e-08,2.968165397644043,0.647797703742981,0.5093799233436584,2.153405791649045,1.5898067951202393,1.0713982662637198,0.06147700548171997,2.3369524903813157,0.5119055211544037,1.231985015035415,0.23570740222930908,1.0068338693556995,0.006734728813171387,1.0125348219751666,0.012348353862762451,1.003504104755275,0.003480374813079834,1.0052503744933656,0.005217611789703369,1.0126178949466342,0.012430191040039062,4.5762294867993285,0.39806996285915375,1.0771920563513122,0.04642146825790405,0.9699345687811832,-4.910607822239399e-05,1.5683189959013968,5.491384014177925e-10,0.0,0.0
