load_path,displacement_loss,displacement_relative_l2,eq_plastic_strain_increment_relative_l2,eq_plastic_strain_relative_l2,final_displacement_relative_l2,final_eq_plastic_strain_relative_l2,final_history_relative_l2,final_plastic_multiplier_increment_relative_l2,final_plastic_work_relative_l2,final_von_mises_relative_l2,final_yield_flag_mae,history_increment_relative_l2,history_loss,history_relative_l2,loss_elastic_overstress,loss_plastic_work_lower_bound,loss_yield_surface,plastic_multiplier_increment_relative_l2,plastic_work_increment_relative_l2,plastic_work_relative_l2,predicted_elastic_overstress_relative_violation,predicted_eq_plastic_strain_monotonic_violation,predicted_max_eq_plastic_strain,predicted_mean_plastic_work,predicted_negative_plastic_multiplier_violation,predicted_plastic_work_lower_bound_absolute_violation,predicted_plastic_work_lower_bound_relative_violation,predicted_plastic_work_lower_bound_target_normalized_violation,predicted_plastic_work_monotonic_violation,predicted_yield_flag_bounds_violation,predicted_yield_surface_relative_rms,reversal_eqp_increment_relative_l2,reversal_fraction,reversal_history_increment_relative_l2,reversal_plastic_work_increment_relative_l2,reversal_yield_flag_mae,target_elastic_overstress_relative_violation,target_eq_plastic_strain_monotonic_violation,target_max_eq_plastic_strain,target_mean_plastic_work,target_negative_plastic_multiplier_violation,target_path_newton_residual_relative,target_path_newton_residual_rms,target_plastic_work_lower_bound_absolute_violation,target_plastic_work_lower_bound_relative_violation,target_plastic_work_lower_bound_target_normalized_violation,target_plastic_work_monotonic_violation,target_yield_flag_bounds_violation,target_yield_surface_relative_rms,total_loss,von_mises_relative_l2,yield_flag_mae,total_loss_ratio,total_loss_delta,displacement_relative_l2_ratio,displacement_relative_l2_delta,history_relative_l2_ratio,history_relative_l2_delta,history_increment_relative_l2_ratio,history_increment_relative_l2_delta,eq_plastic_strain_relative_l2_ratio,eq_plastic_strain_relative_l2_delta,eq_plastic_strain_increment_relative_l2_ratio,eq_plastic_strain_increment_relative_l2_delta,plastic_work_relative_l2_ratio,plastic_work_relative_l2_delta,plastic_work_increment_relative_l2_ratio,plastic_work_increment_relative_l2_delta,plastic_multiplier_increment_relative_l2_ratio,plastic_multiplier_increment_relative_l2_delta,yield_flag_mae_ratio,yield_flag_mae_delta,von_mises_relative_l2_ratio,von_mises_relative_l2_delta,predicted_yield_surface_relative_rms_ratio,predicted_yield_surface_relative_rms_delta,predicted_elastic_overstress_relative_violation_ratio,predicted_elastic_overstress_relative_violation_delta,predicted_plastic_work_lower_bound_relative_violation_ratio,predicted_plastic_work_lower_bound_relative_violation_delta
monotonic,3.802067518234253,1.9498891830444336,0.9877386093139648,0.9858741760253906,1.6999244689941406,0.9866777658462524,0.2868506908416748,0.9891215562820435,0.9944826364517212,0.686488151550293,0.031877607107162476,0.8847448229789734,0.12559829652309418,0.3543984889984131,5.937751252833889e-17,0.0,0.0005169507930986583,0.9877387285232544,0.9956042766571045,0.9936503767967224,1.1343791461726482e-09,0.0,0.005420810077339411,0.00012346573930699378,0.0,0.0,0.0,0.0,0.0,0.0,0.001960227731615305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055512607097626,0.011179580353200436,0.0,1.4683066606521606,0.013224412687122822,0.0,0.0,0.0,0.0,0.0,5.758003496225683e-08,4.341580867767334,0.5987927317619324,0.0992569848895073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unload_reload,2.3178181648254395,1.5224382877349854,0.9949355125427246,0.9899303913116455,1.699897289276123,0.9866724610328674,0.2848927080631256,0.9907373189926147,0.9944825172424316,0.6865255832672119,0.029154019430279732,1.095414161682129,0.7723042368888855,0.8788084387779236,3.68827076703627e-16,0.0,0.011680517345666885,0.9949573278427124,0.9976631999015808,0.9953357577323914,2.0977681813860727e-09,0.0,0.006370129529386759,0.00012290776066947728,0.0,0.0,0.0,0.0,0.0,0.0,0.00203394191339612,17.32522201538086,0.3333333432674408,1.0090670585632324,15.24084758758545,0.9545647501945496,0.0,0.0,0.304943710565567,0.01852869801223278,0.0,1.5678738355636597,0.015093673951923847,0.0,0.0,0.0,0.0,0.0,4.271387155085904e-08,3.86203670501709,0.6019902229309082,0.4942181408405304,0.8895461866642943,-0.47954416275024414,0.78078195467393,-0.42745089530944824,2.479718356761557,0.5244099497795105,1.2381131070016582,0.21066933870315552,1.0041143336390124,0.004056215286254883,1.007286242697102,0.007196903228759766,1.0016961508544908,0.0016853809356689453,1.0020680136603968,0.0020589232444763184,1.007308207232342,0.007218599319458008,4.979177449231338,0.3949611559510231,1.0053398964272116,0.00319749116897583,1.0376049071196802,7.371418178081512e-05,1.8492654668977846,9.633890352134244e-10,0.0,0.0
cyclic,1.6716501712799072,1.292923092842102,0.9991680979728699,0.9930660128593445,1.764662265777588,0.9871523380279541,3.360997438430786,3.4094345569610596,0.9947423934936523,0.37019094824790955,0.9347981214523315,1.1306803226470947,1.3085110187530518,1.1439017057418823,6.94144506126524e-16,0.0,0.017145859077572823,0.9992834329605103,0.9996787905693054,0.9971076846122742,1.1662548704549636e-09,0.0,0.00567111698910594,0.00011983204603893682,0.0,0.0,0.0,0.0,0.0,0.0,0.002237312262877822,1.9346870183944702,0.5,1.1178195476531982,1.281556487083435,0.8905683755874634,0.0,0.0,0.30415916442871094,0.029572630301117897,0.0,1.5379942655563354,0.013303408399224281,1.6437000371904986e-10,1.3680184984821153e-08,1.3680184984821153e-08,0.0,0.0,4.053076452237292e-08,3.9830784797668457,0.647796094417572,0.6717291474342346,0.9174258412040477,-0.3585023880004883,0.6630751655452612,-0.6569660902023315,3.2277273782253753,0.7895032167434692,1.2779733695870026,0.24593549966812134,1.007294883068089,0.007191836833953857,1.0115713697441102,0.01142948865890503,1.0034794006989634,0.003457307815551758,1.0040925034250372,0.004074513912200928,1.0116880143542777,0.01154470443725586,6.7675755835420786,0.5724721625447273,1.0818369363159244,0.04900336265563965,1.1413532350316198,0.000277084531262517,1.0280997093342759,3.187572428231533e-11,0.0,0.0
nonproportional,1.9003926515579224,1.3785473108291626,0.9969502091407776,0.9921833276748657,1.795095443725586,0.9868668913841248,2.5727720260620117,3.8590641021728516,0.9946119785308838,0.4316544532775879,0.8905578851699829,1.2367159128189087,0.842646598815918,0.9179579019546509,4.407615879772149e-16,0.0,0.01578083448112011,0.9970477819442749,0.9986245036125183,0.9967299103736877,1.607109001433571e-09,0.0,0.006180246360599995,0.00012223233352415264,0.0,0.0,0.0,0.0,0.0,0.0,0.002410345245152712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3306017518043518,0.02634011022746563,0.0,1.537671446800232,0.017239205539226532,1.505881253027752e-10,1.5110506623727815e-08,1.5110506623727815e-08,0.0,0.0,4.140971299193552e-08,3.669342517852783,0.6511395573616028,0.5449779033660889,0.8451627712602643,-0.6722383499145508,0.7069875164273624,-0.571341872215271,2.5901857102973183,0.5635594129562378,1.397822152442592,0.3519710898399353,1.0063995505744057,0.006309151649475098,1.0093259489301636,0.009211599826812744,1.003099212407983,0.003079533576965332,1.003033561653185,0.0030202269554138184,1.0094246111367307,0.009309053421020508,5.490574834332892,0.4457209184765816,1.0874206095415373,0.05234682559967041,1.2296251125712279,0.0004501175135374069,1.4167300296870717,4.727298552609227e-10,0.0,0.0
