load_path,displacement_loss,displacement_relative_l2,eq_plastic_strain_increment_relative_l2,eq_plastic_strain_relative_l2,final_displacement_relative_l2,final_eq_plastic_strain_relative_l2,final_history_relative_l2,final_plastic_multiplier_increment_relative_l2,final_plastic_work_relative_l2,final_von_mises_relative_l2,final_yield_flag_mae,history_increment_relative_l2,history_loss,history_relative_l2,loss_elastic_overstress,loss_plastic_work_lower_bound,loss_yield_surface,plastic_multiplier_increment_relative_l2,plastic_work_increment_relative_l2,plastic_work_relative_l2,predicted_elastic_overstress_relative_violation,predicted_eq_plastic_strain_monotonic_violation,predicted_max_eq_plastic_strain,predicted_mean_plastic_work,predicted_negative_plastic_multiplier_violation,predicted_plastic_work_lower_bound_absolute_violation,predicted_plastic_work_lower_bound_relative_violation,predicted_plastic_work_lower_bound_target_normalized_violation,predicted_plastic_work_monotonic_violation,predicted_yield_flag_bounds_violation,predicted_yield_surface_relative_rms,reversal_eqp_increment_relative_l2,reversal_fraction,reversal_history_increment_relative_l2,reversal_plastic_work_increment_relative_l2,reversal_yield_flag_mae,target_elastic_overstress_relative_violation,target_eq_plastic_strain_monotonic_violation,target_max_eq_plastic_strain,target_mean_plastic_work,target_negative_plastic_multiplier_violation,target_path_newton_residual_relative,target_path_newton_residual_rms,target_plastic_work_lower_bound_absolute_violation,target_plastic_work_lower_bound_relative_violation,target_plastic_work_lower_bound_target_normalized_violation,target_plastic_work_monotonic_violation,target_yield_flag_bounds_violation,target_yield_surface_relative_rms,total_loss,von_mises_relative_l2,yield_flag_mae,total_loss_ratio,total_loss_delta,displacement_relative_l2_ratio,displacement_relative_l2_delta,history_relative_l2_ratio,history_relative_l2_delta,history_increment_relative_l2_ratio,history_increment_relative_l2_delta,eq_plastic_strain_relative_l2_ratio,eq_plastic_strain_relative_l2_delta,eq_plastic_strain_increment_relative_l2_ratio,eq_plastic_strain_increment_relative_l2_delta,plastic_work_relative_l2_ratio,plastic_work_relative_l2_delta,plastic_work_increment_relative_l2_ratio,plastic_work_increment_relative_l2_delta,plastic_multiplier_increment_relative_l2_ratio,plastic_multiplier_increment_relative_l2_delta,yield_flag_mae_ratio,yield_flag_mae_delta,von_mises_relative_l2_ratio,von_mises_relative_l2_delta,predicted_yield_surface_relative_rms_ratio,predicted_yield_surface_relative_rms_delta,predicted_elastic_overstress_relative_violation_ratio,predicted_elastic_overstress_relative_violation_delta,predicted_plastic_work_lower_bound_relative_violation_ratio,predicted_plastic_work_lower_bound_relative_violation_delta
monotonic,0.6267478466033936,0.7916740775108337,0.9949560761451721,0.9941349625587463,0.759507417678833,0.9938471913337708,0.27840641140937805,0.9915493726730347,0.9974433183670044,0.6919363141059875,0.016308750957250595,1.0238592624664307,0.19974805414676666,0.4469318389892578,1.1781443467342127e-16,0.0,8.254969543486368e-06,0.9949565529823303,0.9978707432746887,0.9973273873329163,2.9799704925892456e-09,0.0,0.0019366387277841568,5.20436187798623e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0026111993938684464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055512607097626,0.011179580353200436,0.0,1.4683066606521606,0.013224412687122822,0.0,0.0,0.0,0.0,0.0,5.758003496225683e-08,1.314346194267273,0.611212968826294,0.22147738933563232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unload_reload,0.5932140350341797,0.7702038884162903,0.9973028302192688,0.995668888092041,0.7594448328018188,0.9937394857406616,0.26958829164505005,0.9928846955299377,0.9974018931388855,0.6917839646339417,0.010610532015562057,1.017586588859558,0.602344810962677,0.7761086821556091,3.3422863954448584e-16,0.0,0.00015794119099155068,0.9972949624061584,0.9988419413566589,0.9979932308197021,3.1627773733333697e-09,0.0,0.002109694527462125,5.3302755986806005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0026519240345805883,7.853328227996826,0.3333333432674408,1.0718134641647339,6.710697650909424,0.9101331830024719,0.0,0.0,0.304943710565567,0.01852869801223278,0.0,1.5678738355636597,0.015093673951923847,0.0,0.0,0.0,0.0,0.0,4.271387155085904e-08,1.7338389158248901,0.6019185781478882,0.4391043186187744,1.3191645575475477,0.4194927215576172,0.9728800150157125,-0.021470189094543457,1.7365258288843082,0.3291768431663513,0.9938735001607917,-0.006272673606872559,1.0015429751402631,0.0015339255332946777,1.0023586509297866,0.0023467540740966797,1.000667627797294,0.0006658434867858887,1.0009732704245673,0.0009711980819702148,1.0023502628499896,0.002338409423828125,1.982614658480306,0.2176269292831421,0.984793531628994,-0.009294390678405762,1.0155961435989034,4.072464071214199e-05,1.0613451982825797,1.828068807441241e-10,0.0,0.0
cyclic,0.6441064476966858,0.802562415599823,0.9984554052352905,0.996900200843811,0.7607079744338989,0.9940255880355835,3.4159164428710938,2.2108898162841797,0.9975665807723999,0.3743990659713745,0.9573224186897278,1.0158919095993042,1.0186567306518555,1.0092853307724,3.85134207943726e-16,1.1495404370397025e-25,0.00030668036197312176,0.9985750913619995,0.9994410872459412,0.9987195134162903,3.2129983118522887e-09,0.0,0.0020305966027081013,5.3545780247077346e-05,0.0,4.073734656084935e-15,2.0935327083027033e-10,2.0935327083027033e-10,0.0,0.0,0.0026374361477792263,1.1399035453796387,0.5,1.0024324655532837,1.0243961811065674,0.8694449067115784,0.0,0.0,0.30415916442871094,0.029572630301117897,0.0,1.5379942655563354,0.013303408399224281,1.6437000371904986e-10,1.3680184984821153e-08,1.3680184984821153e-08,0.0,0.0,4.053076452237292e-08,2.233907699584961,0.6329091787338257,0.5738934278488159,1.6996341674122843,0.919561505317688,1.0137535614696696,0.010888338088989258,2.25825336824271,0.5623534917831421,0.9922183124583612,-0.007967352867126465,1.0027815521928203,0.0027652382850646973,1.0035170689179327,0.003499329090118408,1.0013958566675853,0.0013921260833740234,1.001573694771428,0.0015703439712524414,1.0036368807952698,0.0036185383796691895,2.591205493122025,0.3524160385131836,1.0354969724369474,0.02169620990753174,1.010047778799424,2.6236753910779953e-05,1.0781980290887274,2.3302781926304306e-10,209.35327083027033,2.0935327083027033e-10
nonproportional,0.6430667638778687,0.8019144535064697,0.9982837438583374,0.9966067671775818,0.7714307904243469,0.9938158988952637,2.6102800369262695,2.684135675430298,0.997470498085022,0.43656420707702637,0.9101348519325256,1.088551640510559,0.6798434257507324,0.8245261907577515,3.8826867983482016e-16,1.591149825422599e-25,0.0002518520050216466,0.9982850551605225,0.9993818998336792,0.9985908269882202,3.3031151147611126e-09,0.0,0.0022400827147066593,5.3962892707204446e-05,0.0,3.9752755462960955e-15,2.0001268696834273e-10,2.0001268696834273e-10,0.0,0.0,0.002660512924194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3306017518043518,0.02634011022746563,0.0,1.537671446800232,0.017239205539226532,1.505881253027752e-10,1.5110506623727815e-08,1.5110506623727815e-08,0.0,0.0,4.140971299193552e-08,1.9277958869934082,0.647840678691864,0.4885013997554779,1.4667337231254538,0.6134496927261353,1.0129350906977195,0.010240375995635986,1.8448589221623328,0.37759435176849365,1.0631848344940371,0.06469237804412842,1.0024863873738767,0.0024718046188354492,1.0033445373046597,0.003327667713165283,1.0012668253888852,0.001263439655303955,1.001514381065058,0.0015111565589904785,1.0033453743967162,0.0033285021781921387,2.2056490787652856,0.2670240104198456,1.0599262642216278,0.03662770986557007,1.018885394367694,4.931353032588959e-05,1.108438866416792,3.23144622171867e-10,200.01268696834273,2.0001268696834273e-10
