load_path,displacement_loss,displacement_relative_l2,eq_plastic_strain_increment_relative_l2,eq_plastic_strain_relative_l2,final_displacement_relative_l2,final_eq_plastic_strain_relative_l2,final_history_relative_l2,final_plastic_multiplier_increment_relative_l2,final_plastic_work_relative_l2,final_von_mises_relative_l2,final_yield_flag_mae,history_increment_relative_l2,history_loss,history_relative_l2,loss_elastic_overstress,loss_plastic_work_lower_bound,loss_yield_surface,plastic_multiplier_increment_relative_l2,plastic_work_increment_relative_l2,plastic_work_relative_l2,predicted_elastic_overstress_relative_violation,predicted_eq_plastic_strain_monotonic_violation,predicted_max_eq_plastic_strain,predicted_mean_plastic_work,predicted_negative_plastic_multiplier_violation,predicted_plastic_work_lower_bound_absolute_violation,predicted_plastic_work_lower_bound_relative_violation,predicted_plastic_work_lower_bound_target_normalized_violation,predicted_plastic_work_monotonic_violation,predicted_yield_flag_bounds_violation,predicted_yield_surface_relative_rms,reversal_eqp_increment_relative_l2,reversal_fraction,reversal_history_increment_relative_l2,reversal_plastic_work_increment_relative_l2,reversal_yield_flag_mae,target_elastic_overstress_relative_violation,target_eq_plastic_strain_monotonic_violation,target_max_eq_plastic_strain,target_mean_plastic_work,target_negative_plastic_multiplier_violation,target_path_newton_residual_relative,target_path_newton_residual_rms,target_plastic_work_lower_bound_absolute_violation,target_plastic_work_lower_bound_relative_violation,target_plastic_work_lower_bound_target_normalized_violation,target_plastic_work_monotonic_violation,target_yield_flag_bounds_violation,target_yield_surface_relative_rms,total_loss,von_mises_relative_l2,yield_flag_mae,total_loss_ratio,total_loss_delta,displacement_relative_l2_ratio,displacement_relative_l2_delta,history_relative_l2_ratio,history_relative_l2_delta,history_increment_relative_l2_ratio,history_increment_relative_l2_delta,eq_plastic_strain_relative_l2_ratio,eq_plastic_strain_relative_l2_delta,eq_plastic_strain_increment_relative_l2_ratio,eq_plastic_strain_increment_relative_l2_delta,plastic_work_relative_l2_ratio,plastic_work_relative_l2_delta,plastic_work_increment_relative_l2_ratio,plastic_work_increment_relative_l2_delta,plastic_multiplier_increment_relative_l2_ratio,plastic_multiplier_increment_relative_l2_delta,yield_flag_mae_ratio,yield_flag_mae_delta,von_mises_relative_l2_ratio,von_mises_relative_l2_delta,predicted_yield_surface_relative_rms_ratio,predicted_yield_surface_relative_rms_delta,predicted_elastic_overstress_relative_violation_ratio,predicted_elastic_overstress_relative_violation_delta,predicted_plastic_work_lower_bound_relative_violation_ratio,predicted_plastic_work_lower_bound_relative_violation_delta
monotonic,6.562655448913574,2.561767816543579,0.9494147896766663,0.9147915244102478,2.3064324855804443,0.920282781124115,0.14086659252643585,0.9534120559692383,0.9549604654312134,0.5468266010284424,0.0,0.9994015097618103,0.4921833276748657,0.7015578150749207,0.0,0.0,0.0,0.9511980414390564,0.973152220249176,0.9507540464401245,0.0,0.0,0.009159551933407784,0.0006668444839306176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11655759811401367,0.0051287333481013775,0.0,1.3001737594604492,0.0454423613846302,0.0,0.0,0.0,0.0,0.0,5.790969126451273e-08,9.164243698120117,0.4713084101676941,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unload_reload,4.8931379318237305,2.2120437622070312,0.9447592496871948,0.9236976504325867,2.3069229125976562,0.9202884435653687,0.13854964077472687,0.9404577612876892,0.9549627900123596,0.5468339920043945,0.0,0.9999163150787354,0.4943576455116272,0.7031056880950928,0.0,0.0,0.0,0.9480622410774231,0.973608672618866,0.9537950158119202,0.0,0.0,0.009159554727375507,0.000666824693325907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9404577016830444,1.0,0.9994474649429321,0.9727745056152344,0.0,0.0,0.0,0.11655719578266144,0.00739623187109828,0.0,1.3471108675003052,0.04880157858133316,0.0,0.0,0.0,0.0,0.0,8.451019439803531e-09,7.496363162994385,0.5212010145187378,0.3333333432674408,0.8180012895698235,-1.6678805351257324,0.8634833133283691,-0.34972405433654785,1.0022063370785868,0.0015478730201721191,1.0005151136073906,0.0005148053169250488,1.0097356892632783,0.008906126022338867,0.9950964109258748,-0.0046555399894714355,1.0031984816506243,0.0030409693717956543,1.0004690451916896,0.0004564523696899414,0.9967033149512281,-0.0031358003616333008,1.0,0.0,1.1058597794452505,0.0498926043510437,0.0,0.0,0.0,0.0,0.0,0.0
cyclic,80.57400512695312,8.976302146911621,2882391040.0,0.7530487179756165,12.636246681213379,0.6866239309310913,31.966554641723633,2734992128.0,0.6937154531478882,3.059598207473755,1.0,1.0003825426101685,1.9531595706939697,1.397554874420166,0.0,0.0,0.0,0.8874319791793823,315231488.0,0.7663289904594421,0.0,0.0,0.009159550070762634,0.0006668550777249038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019142281264066696,0.001123173744417727,0.0,1.0741608142852783,0.01986587792634964,0.0,0.0,0.0,0.0,0.0,1.3143009347516e-08,8.407548977574052e+17,0.5389887690544128,0.6666666865348816,9.174296597218069e+16,8.407548977574052e+17,3.503948362901499,6.414534330368042,1.9920737028222237,0.6959970593452454,1.0009816203385484,0.0009810328483581543,0.8231916211303942,-0.16174280643463135,3035966019.6378765,2882391039.0505853,0.8060223286230348,-0.18442505598068237,323928242.098944,315231487.0268478,0.9329623701041235,-0.06376606225967407,2.0,0.3333333432674408,1.1436009997416292,0.06768035888671875,0.0,0.0,0.0,0.0,0.0,0.0
nonproportional,3.0493032932281494,1.746225357055664,3.83992075920105,0.9455901384353638,2.282942771911621,0.921829879283905,8.432866096496582,2734775296.0,0.9559623599052429,0.5151418447494507,1.0,1.0004572868347168,0.4974481165409088,0.7053000330924988,0.0,0.0,0.0,0.9710655212402344,1.8051031827926636,0.9697669148445129,0.0,0.0,0.009159557521343231,0.0006667952984571457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7735112192.0,1.0,1.0004761219024658,864310400.0,1.0,0.0,0.0,0.11808394640684128,0.011389712803065777,0.0,1.434078574180603,0.0572437047958374,0.0,0.0,0.0,0.0,0.0,4.1425490593383074e-08,7.272170066833496,0.5680237412452698,0.3333333432674408,0.793537394507007,-1.892073631286621,0.6816485654081361,-0.815542459487915,1.005334154843929,0.003742218017578125,1.001056409323574,0.0010557770729064941,1.0336673583032718,0.030798614025115967,4.04451331594358,2.8905059695243835,1.0199976728740494,0.019012868404388428,1.854903215789269,0.8319509625434875,1.0208867963722053,0.01986747980117798,1.0,0.0,1.2052060370472994,0.09671533107757568,0.0,0.0,0.0,0.0,0.0,0.0
