load_path,displacement_loss,displacement_relative_l2,eq_plastic_strain_increment_relative_l2,eq_plastic_strain_relative_l2,final_displacement_relative_l2,final_eq_plastic_strain_relative_l2,final_history_relative_l2,final_plastic_multiplier_increment_relative_l2,final_plastic_work_relative_l2,final_von_mises_relative_l2,final_yield_flag_mae,history_increment_relative_l2,history_loss,history_relative_l2,loss_elastic_overstress,loss_plastic_work_lower_bound,loss_yield_surface,plastic_multiplier_increment_relative_l2,plastic_work_increment_relative_l2,plastic_work_relative_l2,predicted_elastic_overstress_relative_violation,predicted_eq_plastic_strain_monotonic_violation,predicted_max_eq_plastic_strain,predicted_mean_plastic_work,predicted_negative_plastic_multiplier_violation,predicted_plastic_work_lower_bound_absolute_violation,predicted_plastic_work_lower_bound_relative_violation,predicted_plastic_work_lower_bound_target_normalized_violation,predicted_plastic_work_monotonic_violation,predicted_yield_flag_bounds_violation,predicted_yield_surface_relative_rms,reversal_eqp_increment_relative_l2,reversal_fraction,reversal_history_increment_relative_l2,reversal_plastic_work_increment_relative_l2,reversal_yield_flag_mae,target_elastic_overstress_relative_violation,target_eq_plastic_strain_monotonic_violation,target_max_eq_plastic_strain,target_mean_plastic_work,target_negative_plastic_multiplier_violation,target_path_newton_residual_relative,target_path_newton_residual_rms,target_plastic_work_lower_bound_absolute_violation,target_plastic_work_lower_bound_relative_violation,target_plastic_work_lower_bound_target_normalized_violation,target_plastic_work_monotonic_violation,target_yield_flag_bounds_violation,target_yield_surface_relative_rms,total_loss,von_mises_relative_l2,yield_flag_mae,total_loss_ratio,total_loss_delta,displacement_relative_l2_ratio,displacement_relative_l2_delta,history_relative_l2_ratio,history_relative_l2_delta,history_increment_relative_l2_ratio,history_increment_relative_l2_delta,eq_plastic_strain_relative_l2_ratio,eq_plastic_strain_relative_l2_delta,eq_plastic_strain_increment_relative_l2_ratio,eq_plastic_strain_increment_relative_l2_delta,plastic_work_relative_l2_ratio,plastic_work_relative_l2_delta,plastic_work_increment_relative_l2_ratio,plastic_work_increment_relative_l2_delta,plastic_multiplier_increment_relative_l2_ratio,plastic_multiplier_increment_relative_l2_delta,yield_flag_mae_ratio,yield_flag_mae_delta,von_mises_relative_l2_ratio,von_mises_relative_l2_delta,predicted_yield_surface_relative_rms_ratio,predicted_yield_surface_relative_rms_delta,predicted_elastic_overstress_relative_violation_ratio,predicted_elastic_overstress_relative_violation_delta,predicted_plastic_work_lower_bound_relative_violation_ratio,predicted_plastic_work_lower_bound_relative_violation_delta
monotonic,18.597501754760742,4.3124823570251465,0.9500511288642883,0.9154881238937378,3.962057113647461,0.920982837677002,0.1409727931022644,0.9540942311286926,0.9553890824317932,0.5472425222396851,0.0,0.9994094371795654,0.49220189452171326,0.701570987701416,0.0,0.0,0.0,0.9518224000930786,0.9735246896743774,0.9511959552764893,0.0,0.0,0.009075685404241085,0.0006617342005483806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11655759811401367,0.0051287333481013775,0.0,1.3001737594604492,0.0454423613846302,0.0,0.0,0.0,0.0,0.0,5.790969126451273e-08,21.199487686157227,0.4716516435146332,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unload_reload,13.646777153015137,3.6941545009613037,0.9455292820930481,0.9242585301399231,3.96258807182312,0.9209885001182556,0.1386556327342987,0.9413235783576965,0.9553914666175842,0.5472499132156372,0.0,0.9999179244041443,0.4943724572658539,0.703116238117218,0.0,0.0,0.0,0.9484096765518188,0.9740142822265625,0.9541722536087036,0.0,0.0,0.009075688198208809,0.0006617149338126183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9413235187530518,1.0,0.9994558691978455,0.9731988906860352,0.0,0.0,0.0,0.11655719578266144,0.00739623187109828,0.0,1.3471108675003052,0.04880157858133316,0.0,0.0,0.0,0.0,0.0,8.451019439803531e-09,16.25042724609375,0.5214071273803711,0.3333333432674408,0.7665481112878451,-4.949060440063477,0.8566190409900296,-0.6183278560638428,1.0022025574644482,0.001545250415802002,1.0005087876956755,0.0005084872245788574,1.0095800327904672,0.008770406246185303,0.995240417453484,-0.004521846771240234,1.0031290065056566,0.0029762983322143555,1.0005029071757274,0.0004895925521850586,0.9964145374799689,-0.0034127235412597656,1.0,0.0,1.1054920184205703,0.049755483865737915,0.0,0.0,0.0,0.0,0.0,0.0
cyclic,249.0858612060547,15.782453536987305,2845913088.0,0.7537184953689575,23.11447525024414,0.6871153116226196,31.966205596923828,2694073856.0,0.6945710182189941,3.055126190185547,1.0,1.0003763437271118,1.9531395435333252,1.3975478410720825,0.0,0.0,0.0,0.8865557909011841,311028704.0,0.7671273946762085,0.0,0.0,0.009075683541595936,0.0006617438048124313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019142281264066696,0.001123173744417727,0.0,1.0741608142852783,0.01986587792634964,0.0,0.0,0.0,0.0,0.0,1.3143009347516e-08,8.195960334314373e+17,0.5382848381996155,0.6666666865348816,3.866112453116565e+16,8.195960334314373e+17,3.659714343242999,11.469971179962158,1.9920262747051758,0.6959768533706665,1.000967477904026,0.0009669065475463867,0.8232968573783955,-0.16176962852478027,2995536768.0074925,2845913087.0499487,0.8064872336985742,-0.18406856060028076,319487227.4929486,311028703.0264753,0.9314298453309019,-0.06526660919189453,2.0,0.3333333432674408,1.1412762906717508,0.0666331946849823,0.0,0.0,0.0,0.0,0.0,0.0
nonproportional,7.767645359039307,2.7870495319366455,3.7826998233795166,0.9459652900695801,3.8845973014831543,0.922515869140625,8.432867050170898,2693873664.0,0.9563813805580139,0.5139224529266357,1.0,1.00044846534729,0.49745792150497437,0.7053069472312927,0.0,0.0,0.0,0.9711278080940247,1.776029348373413,0.9699927568435669,0.0,0.0,0.009075690992176533,0.0006616870523430407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7619425792.0,1.0,1.0004688501358032,850652800.0,1.0,0.0,0.0,0.11808394640684128,0.011389712803065777,0.0,1.434078574180603,0.0572437047958374,0.0,0.0,0.0,0.0,0.0,4.1425490593383074e-08,11.936671257019043,0.5680686235427856,0.3333333432674408,0.5630641378571338,-9.262816429138184,0.6462749992232361,-1.525432825088501,1.005325134014046,0.003735959529876709,1.00103964214172,0.0010390281677246094,1.0332906188298951,0.030477166175842285,3.9815749999701993,2.8326486945152283,1.0197612294951506,0.018796801567077637,1.8243290254584665,0.8025046586990356,1.020282573722848,0.019305408000946045,1.0,0.0,1.204424136656615,0.09641698002815247,0.0,0.0,0.0,0.0,0.0,0.0
