load_path,displacement_loss,displacement_relative_l2,eq_plastic_strain_increment_relative_l2,eq_plastic_strain_relative_l2,final_displacement_relative_l2,final_eq_plastic_strain_relative_l2,final_history_relative_l2,final_plastic_multiplier_increment_relative_l2,final_plastic_work_relative_l2,final_von_mises_relative_l2,final_yield_flag_mae,history_increment_relative_l2,history_loss,history_relative_l2,loss_elastic_overstress,loss_plastic_work_lower_bound,loss_yield_surface,plastic_multiplier_increment_relative_l2,plastic_work_increment_relative_l2,plastic_work_relative_l2,predicted_elastic_overstress_relative_violation,predicted_eq_plastic_strain_monotonic_violation,predicted_max_eq_plastic_strain,predicted_mean_plastic_work,predicted_negative_plastic_multiplier_violation,predicted_plastic_work_lower_bound_relative_violation,predicted_plastic_work_monotonic_violation,predicted_yield_flag_bounds_violation,predicted_yield_surface_relative_rms,reversal_eqp_increment_relative_l2,reversal_fraction,reversal_history_increment_relative_l2,reversal_plastic_work_increment_relative_l2,reversal_yield_flag_mae,target_elastic_overstress_relative_violation,target_eq_plastic_strain_monotonic_violation,target_max_eq_plastic_strain,target_mean_plastic_work,target_negative_plastic_multiplier_violation,target_path_newton_residual_relative,target_path_newton_residual_rms,target_plastic_work_lower_bound_relative_violation,target_plastic_work_monotonic_violation,target_yield_flag_bounds_violation,target_yield_surface_relative_rms,total_loss,von_mises_relative_l2,yield_flag_mae,total_loss_ratio,total_loss_delta,displacement_relative_l2_ratio,displacement_relative_l2_delta,history_relative_l2_ratio,history_relative_l2_delta,history_increment_relative_l2_ratio,history_increment_relative_l2_delta,eq_plastic_strain_relative_l2_ratio,eq_plastic_strain_relative_l2_delta,eq_plastic_strain_increment_relative_l2_ratio,eq_plastic_strain_increment_relative_l2_delta,plastic_work_relative_l2_ratio,plastic_work_relative_l2_delta,plastic_work_increment_relative_l2_ratio,plastic_work_increment_relative_l2_delta,plastic_multiplier_increment_relative_l2_ratio,plastic_multiplier_increment_relative_l2_delta,yield_flag_mae_ratio,yield_flag_mae_delta,von_mises_relative_l2_ratio,von_mises_relative_l2_delta,predicted_yield_surface_relative_rms_ratio,predicted_yield_surface_relative_rms_delta,predicted_elastic_overstress_relative_violation_ratio,predicted_elastic_overstress_relative_violation_delta,predicted_plastic_work_lower_bound_relative_violation_ratio,predicted_plastic_work_lower_bound_relative_violation_delta
monotonic,1.0734381278355916,1.0327080090840657,3.700974623362223,7.169862111409505,0.9721574385960897,5.532793998718262,0.5534639159838358,3.035149415334066,30.40087636311849,0.42992106080055237,0.37316371003786725,0.9828387896219889,0.4489477475484212,0.6683238744735718,0.0,0.0,0.47786929210027057,5.950864950815837,19.25363604227702,41.89441808064779,0.0,0.0,0.32297929128011066,0.17599798242251077,0.0,0.0,0.0,0.0,0.4761083424091339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11093772699435551,0.00207948824390769,0.0,1.206887165705363,0.030963512137532234,0.0,0.0,0.0,3.43528050450459e-08,42.87670135498047,0.5069820284843445,0.4050791760285695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unload_reload,0.9404259920120239,0.9689681927363077,2.9011802673339844,5.203645388285319,0.9721062978108724,5.532571156819661,0.5533753633499146,2.4440552393595376,30.401138305664062,0.42987125118573505,0.37316373984018963,0.9543289740880331,0.7155942718187968,0.8454750776290894,0.0,0.0,0.25458386540412903,4.551301638285319,15.158465703328451,31.458455403645832,0.0,0.0,0.32297929128011066,0.17599820097287497,0.0,0.0,0.0,0.0,0.4761081337928772,369139591850.6667,0.3333333432674408,1.0147355397542317,333164882602.6667,0.6266769170761108,0.0,0.0,0.11093475172917049,0.003605416820695003,0.0,1.2775133848190308,0.035049447789788246,0.0,0.0,0.0,3.021990953773942e-08,27.44785435994466,0.46629128853480023,0.4778891901175181,0.6401577894880753,-15.428846995035808,0.9382789561162691,-0.06373981634775794,1.2650678958537234,0.17715120315551758,0.9709923785721553,-0.028509815533955818,0.7257664523289344,-1.9662167231241856,0.7838962874861191,-0.7997943560282388,0.7508984930423793,-10.435962677001957,0.7873040536366005,-4.095170338948568,0.7648134642446148,-1.3995633125305176,1.179742673525665,0.0728100140889486,0.9197392852934219,-0.04069073994954425,0.9999995618302849,-2.086162567138672e-07,0.0,0.0,0.0,0.0
cyclic,0.9138633807500204,0.9558330575625101,2.23583992322286,3.640319506327311,0.9928023020426432,5.361676851908366,5.986059347788493,13322200320.361166,29.84507115681966,1.1195159753163655,0.6296452879905701,1.0238925615946453,1.0700428485870361,1.0329022804896038,0.0,0.0,0.12804768979549408,3.176673730214437,10.237146059672037,20.989436467488606,0.0,0.0,0.32297926147778827,0.1759972721338272,0.0,0.0,0.0,0.0,0.4761071801185608,118923908828.39497,0.5,1.072455922762553,107955675225.38249,0.6058539350827535,0.0,0.0,0.11205873141686122,0.006008297981073459,0.0,1.3282368183135986,0.03273375704884529,1.4679097641116337e-08,0.0,0.0,3.029009813341569e-08,14.009376525878906,0.5518798430760702,0.5622081756591797,0.32673634125661594,-28.867324829101562,0.9255598379742035,-0.07687495152155555,1.545511569975268,0.364578406016032,1.0417706061321066,0.04105377197265636,0.5077251765462014,-3.529542605082194,0.6041219275347711,-1.4651347001393633,0.5010079487697722,-20.904981613159183,0.5316993651065893,-9.016489982604982,0.5338171436370656,-2.7741912206014,1.3878970061386915,0.15712899963061017,1.0885589864515526,0.044897814591725704,0.9999975587687305,-1.1622905731201172e-06,0.0,0.0,0.0,0.0
nonproportional,0.9002258578936259,0.9486869176228842,2.48962140083313,3.9164093335469565,0.9853238264719645,5.439558823903401,7.794049263000488,40093384704.0,29.52938969930013,0.8221001227696737,0.6355101664861044,0.9389313459396362,0.7654545307159424,0.874737282594045,0.0,0.0,0.13462779422601065,3.8094372749328613,12.495737711588541,22.11052958170573,0.0,0.0,0.32297928134600323,0.1759986182053884,0.0,0.0,0.0,0.0,0.4761075973510742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11067567269007365,0.005297257487351696,0.0,1.3027302424112956,0.04159782330195109,1.2277206214624433e-08,0.0,0.0,3.093018404361677e-08,19.541337966918945,0.45705850919087726,0.5063584943612417,0.45575656124136665,-23.335363388061523,0.9186400311393906,-0.08402109146118153,1.3088523633591003,0.20641340812047326,0.9553258945963661,-0.043907443682352665,0.5462321691395875,-3.2534527778625484,0.6726934535345137,-1.2113532225290933,0.5277679126403526,-19.78388849894206,0.6490066439476925,-6.757898330688478,0.6401485004983359,-2.1414276758829756,1.2500235122565992,0.10127931833267217,0.9015280296173085,-0.04992351929346722,0.9999984351081607,-7.450580596923828e-07,0.0,0.0,0.0,0.0
