load_path,displacement_loss,displacement_relative_l2,eq_plastic_strain_increment_relative_l2,eq_plastic_strain_relative_l2,final_displacement_relative_l2,final_eq_plastic_strain_relative_l2,final_history_relative_l2,final_plastic_multiplier_increment_relative_l2,final_plastic_work_relative_l2,final_von_mises_relative_l2,final_yield_flag_mae,history_increment_relative_l2,history_loss,history_relative_l2,loss_elastic_overstress,loss_plastic_work_lower_bound,loss_yield_surface,plastic_multiplier_increment_relative_l2,plastic_work_increment_relative_l2,plastic_work_relative_l2,predicted_elastic_overstress_relative_violation,predicted_eq_plastic_strain_monotonic_violation,predicted_max_eq_plastic_strain,predicted_mean_plastic_work,predicted_negative_plastic_multiplier_violation,predicted_plastic_work_lower_bound_relative_violation,predicted_plastic_work_monotonic_violation,predicted_yield_flag_bounds_violation,predicted_yield_surface_relative_rms,reversal_eqp_increment_relative_l2,reversal_fraction,reversal_history_increment_relative_l2,reversal_plastic_work_increment_relative_l2,reversal_yield_flag_mae,target_elastic_overstress_relative_violation,target_eq_plastic_strain_monotonic_violation,target_max_eq_plastic_strain,target_mean_plastic_work,target_negative_plastic_multiplier_violation,target_path_newton_residual_relative,target_path_newton_residual_rms,target_plastic_work_lower_bound_relative_violation,target_plastic_work_monotonic_violation,target_yield_flag_bounds_violation,target_yield_surface_relative_rms,total_loss,von_mises_relative_l2,yield_flag_mae,total_loss_ratio,total_loss_delta,displacement_relative_l2_ratio,displacement_relative_l2_delta,history_relative_l2_ratio,history_relative_l2_delta,history_increment_relative_l2_ratio,history_increment_relative_l2_delta,eq_plastic_strain_relative_l2_ratio,eq_plastic_strain_relative_l2_delta,eq_plastic_strain_increment_relative_l2_ratio,eq_plastic_strain_increment_relative_l2_delta,plastic_work_relative_l2_ratio,plastic_work_relative_l2_delta,plastic_work_increment_relative_l2_ratio,plastic_work_increment_relative_l2_delta,plastic_multiplier_increment_relative_l2_ratio,plastic_multiplier_increment_relative_l2_delta,yield_flag_mae_ratio,yield_flag_mae_delta,von_mises_relative_l2_ratio,von_mises_relative_l2_delta,predicted_yield_surface_relative_rms_ratio,predicted_yield_surface_relative_rms_delta,predicted_elastic_overstress_relative_violation_ratio,predicted_elastic_overstress_relative_violation_delta,predicted_plastic_work_lower_bound_relative_violation_ratio,predicted_plastic_work_lower_bound_relative_violation_delta
monotonic,0.6675109267234802,0.8170134425163269,1.0154086351394653,1.7728322744369507,0.7876391410827637,1.2527204751968384,0.5539365410804749,0.7541763782501221,5.73531436920166,0.48784777522087097,0.4758033752441406,0.9802077412605286,0.34381988644599915,0.5863615870475769,0.0,0.0,0.3559654653072357,1.6003283262252808,3.872481346130371,7.9684319496154785,0.0,0.0,0.3175496459007263,0.1587071567773819,0.0,0.0,0.0,0.0,0.32818329334259033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31507402658462524,0.01145410817116499,0.0,1.443807601928711,0.013107052072882652,0.0,0.0,0.0,5.4141757743764174e-08,2.886955499649048,0.47328534722328186,0.47154492139816284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unload_reload,1.0797209739685059,1.0390962362289429,1.34220552444458,2.278843641281128,1.0567607879638672,2.3569328784942627,0.5817427039146423,1.0277849435806274,9.898837089538574,0.41764095425605774,0.478013277053833,0.9849488139152527,0.52968430519104,0.7277941703796387,0.0,0.0,0.1928148716688156,2.0096840858459473,5.075046062469482,10.204310417175293,0.0,0.0,0.315812885761261,0.16021862626075745,0.0,0.0,0.0,0.0,0.34541985392570496,691.3367309570312,0.3333333432674408,0.986958920955658,4387.8662109375,0.5363910794258118,0.0,0.0,0.25830236077308655,0.010160187259316444,0.0,2.1496598720550537,0.01766403205692768,1.2274523619737465e-09,0.0,0.0,3.294578121426639e-08,4.641500949859619,0.44537341594696045,0.48450011014938354,1.60774939219668,1.7545454502105713,1.2718226924499814,0.22208279371261597,1.2412036982916925,0.14143258333206177,1.0048368039295703,0.004741072654724121,1.2854254032603767,0.5060113668441772,1.3218378079483533,0.32679688930511475,1.2805920263481334,2.2358784675598145,1.3105411256637274,1.2025647163391113,1.255794859662467,0.4093557596206665,1.0274739227660594,0.012955188751220703,0.9410251522890409,-0.02791193127632141,1.0525211396581404,0.017236560583114624,0.0,0.0,0.0,0.0
cyclic,1.1882597208023071,1.0900732278823853,1.5786819458007812,2.734259843826294,1.403752326965332,3.9544358253479004,6.094777584075928,41350176768.0,19.361318588256836,1.4467922449111938,0.5205637216567993,0.9958394765853882,0.7980872988700867,0.8933573365211487,0.0,0.0,0.09869619458913803,2.20896577835083,6.554956912994385,13.67199420928955,0.0,0.0,0.314572811126709,0.16173988580703735,0.0,0.0,0.0,0.0,0.3668859899044037,1242.4566650390625,0.5,0.9886728525161743,7016.55517578125,0.5510711073875427,0.0,0.0,0.15197643637657166,0.009146861732006073,0.0,1.4811928272247314,0.009634558111429214,8.259220862782968e-09,0.0,0.0,2.5242988144213996e-08,6.816030025482178,0.5939488410949707,0.5053304433822632,2.3609750916876853,3.92907452583313,1.3342170044657515,0.27305978536605835,1.523560472334731,0.3069957494735718,1.0159473697940373,0.01563173532485962,1.542311635033095,0.9614275693893433,1.554725744068496,0.5632733106613159,1.7157697142596922,5.703562259674072,1.6927019983051728,2.6824755668640137,1.380320364359951,0.6086374521255493,1.0716485756731808,0.03378552198410034,1.2549487208501373,0.12066349387168884,1.1179301242534965,0.038702696561813354,0.0,0.0,0.0,0.0
nonproportional,0.7155974507331848,0.8459299206733704,1.0648181438446045,1.2146176099777222,0.8644892573356628,1.6739211082458496,1.7285571098327637,395.89642333984375,6.8941264152526855,0.4936307370662689,0.5234771370887756,0.9885026216506958,0.4353683888912201,0.659824550151825,0.0,0.0,0.12495636194944382,1.4258400201797485,3.197192668914795,5.12576150894165,0.0,0.0,0.31610217690467834,0.15593506395816803,0.0,0.0,0.0,0.0,0.3545799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33359402418136597,0.019660064950585365,0.0,2.027740955352783,0.0204918272793293,3.557428840395005e-08,0.0,0.0,3.4882891242205005e-08,2.5635881423950195,0.4639277160167694,0.4741639792919159,0.8879901829822668,-0.3233673572540283,1.0353929037788943,0.028916478157043457,1.1252861113807704,0.07346296310424805,1.0084623698028545,0.008294880390167236,0.6851283268539791,-0.5582146644592285,1.0486597286996213,0.04940950870513916,0.6432584906731866,-2.842670440673828,0.8256186106899217,-0.6752886772155762,0.8909671826798814,-0.17448830604553223,1.0055542065557346,0.0026190578937530518,0.980228352173984,-0.009357631206512451,1.0804325897447913,0.026396632194519043,0.0,0.0,0.0,0.0
