Model,Seeds,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,FEM residual rel. RMS,FEM energy rel. err.
Thermo-hard HistoryGNO,5,139.7765 +/- 68.7685,1.3404 +/- 0.0029,1.0051 +/- 0.0050,18.3596 +/- 3.9659,21.6461 +/- 6.2769,1.0071 +/- 0.0129,0.7132 +/- 0.0055,0.0003 +/- 0.0002,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,
HistoryGNO data-only,5,160.3339 +/- 87.0493,7.8498 +/- 1.0789,1.9307 +/- 0.2179,3531.2222 +/- 1130.8831,26433.4771 +/- 8792.2562,2.1172 +/- 0.2549,0.5041 +/- 0.0146,0.4669 +/- 0.0299,3.4621 +/- 2.4907,144681.5289 +/- 104088.9108,8.4594 +/- 10.0158,,
HANO-window recent-history NO,5,495.2727 +/- 164.9589,3.0637 +/- 1.2883,1.0042 +/- 0.0033,252.9186 +/- 126.4493,351.4555 +/- 208.6236,1.0051 +/- 0.0041,0.3784 +/- 0.0618,0.3762 +/- 0.4335,0.0209 +/- 0.0176,875.0889 +/- 733.6266,2.5408 +/- 1.8166,,
INCDE Euler neural CDE,5,352.6338 +/- 183.0409,0.8584 +/- 0.0197,1.0018 +/- 0.0029,49.5912 +/- 37.7338,304.5891 +/- 201.2528,1.0053 +/- 0.0091,0.3669 +/- 0.0045,0.1619 +/- 0.0149,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,
Thermo-projected neural CDE,5,352.8303 +/- 183.0257,0.9902 +/- 0.0101,0.9998 +/- 0.0003,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9972 +/- 0.0056,0.2838 +/- 0.0016,0.0008 +/- 0.0016,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,
Non-recurrent GNO sequence,5,112.0252 +/- 53.5952,0.8591 +/- 0.0186,1.0001 +/- 0.0001,1.0913 +/- 0.1004,5.3065 +/- 4.5581,1.0002 +/- 0.0003,0.3679 +/- 0.0047,0.1388 +/- 0.0109,0.0001 +/- 0.0001,4.1890 +/- 5.1737,1.0166 +/- 0.5718,,
Static DeepONet sequence,5,8.5121 +/- 1.0257,0.8576 +/- 0.0159,1.0000 +/- 0.0001,1.4670 +/- 0.8760,4.3574 +/- 4.2181,1.0001 +/- 0.0002,0.3675 +/- 0.0024,0.1440 +/- 0.0265,0.0001 +/- 0.0001,3.7423 +/- 4.5014,1.0010 +/- 0.6333,,
