load_path,calibrated_field_coverage_95,calibrated_field_crps,calibrated_field_ece,calibrated_field_interval_width_95,calibrated_field_sharpness,calibrated_field_spread_scale,calibrated_history_coverage_95,calibrated_history_ece,calibrated_history_posterior_std,calibrated_history_spread_scale,calibrated_material_parameter_coverage_95,calibrated_material_parameter_ece,calibrated_material_parameter_posterior_std,calibrated_material_parameter_spread_scale,field_coverage_95,field_crps,field_ece,field_interval_width_95,field_sharpness,history_coverage_95,history_ece,history_final_relative_l2,history_posterior_std,history_relative_l2,inversion_final_loss,material_parameter_coverage_95,material_parameter_ece,material_parameter_mae,material_parameter_posterior_std,material_parameter_relative_l2,rollout_displacement_relative_l2,sparse_observation_relative_l2,sparse_observation_rmse
cyclic,0.9505208730697632,0.03590928949415684,0.13893231749534607,0.16944031417369843,0.07623988762497902,2090.3429565429688,1.0,0.1512695550918579,0.7845852971076965,8.980712890625,1.0,0.07916666567325592,4.992203950881958,24.527000427246094,0.0,0.019640164449810982,0.7874999642372131,9.517246871837415e-05,4.306492155592423e-05,0.1191406287252903,0.668408215045929,0.8396831154823303,0.00014745607768418267,0.9953910112380981,542.2205200195312,0.0833333358168602,0.7041666507720947,2.74277326464653,0.21239212900400162,0.12956855818629265,1.035739690065384,1.155454695224762,0.02343493141233921
nonproportional,0.9505208730697632,0.045063555240631104,0.09222008287906647,0.276261106133461,0.11164506897330284,2672.4656982421875,1.0,0.13496093451976776,0.7845853865146637,6.376112461090088,1.0,0.19583332538604736,3.8216562271118164,19.83824849128723,0.0013020833721384406,0.03414268046617508,0.7861979007720947,0.00011743844152078964,4.6789022235316224e-05,0.09160156175494194,0.6959472596645355,0.9849561452865601,0.00016008656530175358,0.9947761297225952,2560.2296142578125,0.1666666716337204,0.6416666358709335,3.492657423019409,0.22536040097475052,0.1726306453347206,1.1912499070167542,1.1967474818229675,0.05035341717302799
random_amplitude,0.9505208730697632,0.03905413579195738,0.11923831701278687,0.28722330927848816,0.1171952523291111,3063.1292741298676,1.0,0.13543345779180527,0.784585177898407,6.555897951126099,1.0,0.11249999701976776,2.3872833251953125,25.817100524902344,0.0,0.029853678308427334,0.7874999642372131,5.094557855045423e-05,2.1142454897926655e-05,0.09435483440756798,0.6931451559066772,0.9929991662502289,7.259775884449482e-05,0.994286298751831,2524.3285522460938,0.0833333358168602,0.7041666507720947,3.520182967185974,0.09730714932084084,0.17572134733200073,1.0299180150032043,1.0088368952274323,0.04933683201670647
pre_stress,0.9505208730697632,0.025609783828258514,0.13665367662906647,0.1536167711019516,0.06174090877175331,1571.650194644928,1.0,0.12881944328546524,0.7845852375030518,6.008786916732788,1.0,0.10000000149011612,3.7281994819641113,41.0965461730957,0.0,0.020891641266644,0.7874999642372131,2.518984183552675e-05,1.0441585345688509e-05,0.06686508096754551,0.7206845283508301,0.9958774745464325,5.025060636398848e-05,0.9971084892749786,1493.2769470214844,0.0,0.7874999642372131,2.8212238252162933,0.11303726583719254,0.1324773095548153,0.9888612031936646,0.9622103273868561,0.036825938150286674
