Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,QP reversal scalar-inc. rel. L2,QP reversal eqp-inc. rel. L2,QP reversal work-inc. rel. L2,QP reversal yield MAE,QP inactive false plasticity,True-J2 consistency rel. RMS,True-J2 active consistency rel. RMS,True-J2 negative dgamma,True-J2 active QP frac.,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,FEM residual rel. RMS,FEM energy rel. err.,FEM tangent-solver rel. RMS
True differentiable J2 QP-HistoryGNO,20260517,167.321,57.7986,1.17089,1.0174,1.94659,1.0789,3.34898,3.35818,0.830547,1.07886,1.50477,1.52737,0.125786,0.497905,0.0191294,6.44472e-08,0,0.992244,4.43745,4.56285,1.06713,0.455507,0.00661661,0,0,0,14.7731,205.392,4.03982
True differentiable J2 QP-HistoryGNO,20260518,84.8884,29.2851,1.09431,1.27603,1.86185,1.85044,7.50479,8.32366,0.887167,1.69378,3.51662,3.85721,0.216981,0.465833,0.129393,1.52598e-07,0,0.869048,10.3947,11.1725,1.79948,0.457912,0.0373821,1.88352e-06,0.0703101,0.00618701,40.4128,581.674,15.6979
True differentiable J2 QP-HistoryGNO,20260519,192.793,38.3408,1.1749,1.01267,1.95101,1.05198,5.27175,5.51479,0.870914,1.0243,2.4656,2.57279,0.127358,0.498963,0.0110509,8.90813e-08,0,0.996032,7.47393,8.07987,1.01185,0.458874,0.00346603,1.66536e-08,0.000621665,7.58479e-05,40.5473,1899.8,3.99934
True differentiable J2 QP-HistoryGNO,20260520,600.518,135.563,1.15411,1.01046,1.92853,1.1033,6.52221,6.86375,0.899,1.00817,3.61994,3.86695,0.121069,0.492254,0.0250121,1.06727e-07,0,0.97619,8.34184,8.89238,1.00782,0.454545,0.00403641,7.0829e-08,0.00264398,0.000288667,39.8296,1750.14,3.83847
True differentiable J2 QP-HistoryGNO,20260521,344.864,84.1499,1.17794,1.00024,1.95515,1.00122,8.17351,8.75803,0.941559,1.00001,2.74888,2.94434,0.121069,0.499964,0.000634643,1.00255e-07,0,0.99982,8.15219,8.85537,0.999872,0.455988,0.000213372,0,0,0,54.7215,1394.46,6.14146
