Model,Load path,Seeds,Disp. rel. L2,History rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,QP reversal scalar-inc. rel. L2,QP reversal eqp-inc. rel. L2,QP reversal work-inc. rel. L2,QP reversal yield MAE,QP inactive false plasticity,True-J2 consistency rel. RMS,True-J2 active consistency rel. RMS,True-J2 negative dgamma,True-J2 active QP frac.,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.,FEM tangent-solver rel. RMS
True differentiable J2 QP-HistoryGNO,monotonic,5,74.2825 +/- 41.1196,1.7052 +/- 0.0595,1.2737 +/- 0.3556,2.6042 +/- 0.0596,1.7185 +/- 0.9140,15.4099 +/- 4.1568,16.7910 +/- 4.8818,0.9686 +/- 0.0428,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4911 +/- 0.0131,0.0374 +/- 0.0476,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.9661 +/- 0.0505,27.3491 +/- 6.5149,29.8611 +/- 7.4143,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0105 +/- 0.0140,0.0000 +/- 0.0000,0.0497 +/- 0.0936,0.0013 +/- 0.0024,,,36.2799 +/- 12.3530,34.3584 +/- 26.9071,6.4555 +/- 4.3531
True differentiable J2 QP-HistoryGNO,unload_reload,5,71.3819 +/- 39.5230,1.3414 +/- 0.0465,1.2477 +/- 0.3145,2.1378 +/- 0.0464,1.6789 +/- 0.8597,20.1928 +/- 5.5076,22.1981 +/- 6.5381,0.8183 +/- 0.0382,1.2674 +/- 0.4402,8.5305 +/- 2.5802,9.5113 +/- 3.0136,0.0352 +/- 0.0618,0.4909 +/- 0.0134,0.0376 +/- 0.0480,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.9658 +/- 0.0512,27.0027 +/- 6.6147,29.9350 +/- 7.6309,1.4034 +/- 0.6483,0.5801 +/- 0.0217,0.0106 +/- 0.0141,0.0000 +/- 0.0000,0.0509 +/- 0.0962,0.0013 +/- 0.0024,,,34.1606 +/- 11.6030,35.0559 +/- 24.8055,6.1312 +/- 4.1755
True differentiable J2 QP-HistoryGNO,cyclic,5,69.0275 +/- 38.2175,1.1544 +/- 0.0312,1.0634 +/- 0.1065,1.9286 +/- 0.0346,1.2172 +/- 0.3184,6.1642 +/- 1.7137,6.5637 +/- 1.9687,0.8858 +/- 0.0362,1.1610 +/- 0.2678,2.7712 +/- 0.7712,2.9537 +/- 0.8752,0.1425 +/- 0.0373,0.4910 +/- 0.0129,0.0370 +/- 0.0469,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.9667 +/- 0.0495,7.7600 +/- 1.9264,8.3126 +/- 2.1412,1.1772 +/- 0.3120,0.4566 +/- 0.0016,0.0103 +/- 0.0137,0.0000 +/- 0.0000,0.0147 +/- 0.0278,0.0013 +/- 0.0024,,,38.0569 +/- 12.9208,1166.2916 +/- 662.7324,6.7434 +/- 4.5568
True differentiable J2 QP-HistoryGNO,nonproportional,5,55.5452 +/- 30.7447,0.9127 +/- 0.0219,1.3299 +/- 0.4174,1.5778 +/- 0.0250,1.7479 +/- 0.9368,12.2488 +/- 3.3828,13.4066 +/- 3.9942,0.6610 +/- 0.0337,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4911 +/- 0.0130,0.0367 +/- 0.0461,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.9663 +/- 0.0503,22.1086 +/- 5.4723,24.3534 +/- 6.2580,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0103 +/- 0.0135,0.0000 +/- 0.0000,0.0413 +/- 0.0779,0.0013 +/- 0.0024,,,29.3972 +/- 9.9858,30.4453 +/- 18.2994,5.3489 +/- 3.5622
