load_path,displacement_loss,displacement_relative_l2,eq_plastic_strain_increment_relative_l2,eq_plastic_strain_relative_l2,final_displacement_relative_l2,final_eq_plastic_strain_relative_l2,final_history_relative_l2,final_plastic_multiplier_increment_relative_l2,final_plastic_work_relative_l2,final_von_mises_relative_l2,final_yield_flag_mae,history_increment_relative_l2,history_loss,history_relative_l2,loss_elastic_overstress,loss_plastic_work_lower_bound,loss_yield_surface,plastic_multiplier_increment_relative_l2,plastic_work_increment_relative_l2,plastic_work_relative_l2,predicted_elastic_overstress_relative_violation,predicted_eq_plastic_strain_monotonic_violation,predicted_max_eq_plastic_strain,predicted_mean_plastic_work,predicted_negative_plastic_multiplier_violation,predicted_plastic_work_lower_bound_relative_violation,predicted_plastic_work_monotonic_violation,predicted_yield_flag_bounds_violation,predicted_yield_surface_relative_rms,reversal_eqp_increment_relative_l2,reversal_fraction,reversal_history_increment_relative_l2,reversal_plastic_work_increment_relative_l2,reversal_yield_flag_mae,target_elastic_overstress_relative_violation,target_eq_plastic_strain_monotonic_violation,target_max_eq_plastic_strain,target_mean_plastic_work,target_negative_plastic_multiplier_violation,target_path_newton_residual_relative,target_path_newton_residual_rms,target_plastic_work_lower_bound_relative_violation,target_plastic_work_monotonic_violation,target_yield_flag_bounds_violation,target_yield_surface_relative_rms,total_loss,von_mises_relative_l2,yield_flag_mae,total_loss_ratio,total_loss_delta,displacement_relative_l2_ratio,displacement_relative_l2_delta,history_relative_l2_ratio,history_relative_l2_delta,history_increment_relative_l2_ratio,history_increment_relative_l2_delta,eq_plastic_strain_relative_l2_ratio,eq_plastic_strain_relative_l2_delta,eq_plastic_strain_increment_relative_l2_ratio,eq_plastic_strain_increment_relative_l2_delta,plastic_work_relative_l2_ratio,plastic_work_relative_l2_delta,plastic_work_increment_relative_l2_ratio,plastic_work_increment_relative_l2_delta,plastic_multiplier_increment_relative_l2_ratio,plastic_multiplier_increment_relative_l2_delta,yield_flag_mae_ratio,yield_flag_mae_delta,von_mises_relative_l2_ratio,von_mises_relative_l2_delta,predicted_yield_surface_relative_rms_ratio,predicted_yield_surface_relative_rms_delta,predicted_elastic_overstress_relative_violation_ratio,predicted_elastic_overstress_relative_violation_delta,predicted_plastic_work_lower_bound_relative_violation_ratio,predicted_plastic_work_lower_bound_relative_violation_delta
monotonic,0.9183686176935831,0.9573818842569987,3.7850162188212075,7.401972770690918,0.9312605857849121,5.672310829162598,0.6141680280367533,4.132990678151448,21.885695775349934,0.45540934801101685,0.49629412094751996,1.0040337244669597,0.5049576560656229,0.7097395857175192,0.0,0.1651406983534495,0.4957994818687439,6.815887451171875,13.854491551717123,30.377708435058594,0.0,0.0,0.33298532168070477,0.1282557100057602,0.0,0.0731523260474205,0.0,0.0,0.3907636304696401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11093772699435551,0.00207948824390769,0.0,1.206887165705363,0.030963512137532234,0.0,0.0,0.0,3.43528050450459e-08,23.82079823811849,0.5020919243494669,0.4681147237618764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unload_reload,0.8586885134379069,0.926548441251119,2.9517032305399575,5.374457836151123,0.9311019778251648,5.672107060750325,0.6140533487002054,3.348680337270101,21.886011759440105,0.4553671379884084,0.496293584505717,0.9692771434783936,0.6491295496622721,0.8053248127301534,0.0,0.19012156128883362,0.2648909091949463,5.22205384572347,10.912558555603027,22.759092966715496,0.0,0.0,0.3329901893933614,0.1282573789358139,0.0,0.07315324743588765,0.0,0.0,0.3907633225123088,369761615872.0,0.3333333432674408,1.0051855246225994,239468412928.0,0.50059841076533,0.0,0.0,0.11093475172917049,0.003605416820695003,0.0,1.2775133848190308,0.035049447789788246,0.0,0.0,0.0,3.021990953773942e-08,15.512598037719727,0.4533786078294118,0.4782158037026723,0.6512207476278513,-8.308200200398762,0.9677939978676234,-0.030833443005879646,1.1346764770292492,0.09558522701263428,0.9653830542325474,-0.034756580988566155,0.7260845186342746,-2.027514934539795,0.7798389914057556,-0.83331298828125,0.7492037464040396,-7.618615468343098,0.7876549287188044,-2.9419329961140956,0.7661590487128168,-1.5938336054484052,1.0215782145445487,0.010101079940795898,0.9029792869439789,-0.04871331652005512,0.9999992119089207,-3.079573313025108e-07,0.0,0.0,1.000012595477368,9.213884671482875e-07
cyclic,0.8699381947517395,0.9327032367388407,2.2571191787719727,3.7623035113016763,0.9447829922040304,5.49836524327596,4.946755727132161,17368393351.10254,21.473475138346355,1.0007543961207073,0.5037726163864136,0.9971169432004293,0.8486197590827942,0.9199861089388529,0.0,0.2913488994042079,0.13458235065142313,3.6719985008239746,7.37711747487386,15.12840461730957,0.0,0.0,0.33297544717788696,0.12825608253479004,0.0,0.0731570174296697,0.0,0.0,0.39075910051663715,120509519582.51631,0.5,1.0171467860539753,77946259428.1512,0.49656444787979126,0.0,0.0,0.11205873141686122,0.006008297981073459,0.0,1.3282368183135986,0.03273375704884529,1.4679097641116337e-08,0.0,0.0,3.029009813341569e-08,8.367361068725586,0.5261359413464864,0.50888059536616,0.35126283280196624,-15.453437169392902,0.9742227757554547,-0.02467864751815796,1.2962305153217326,0.21024652322133375,0.9931110070329535,-0.006916781266530392,0.5082838896947866,-3.6396692593892417,0.5963301207398584,-1.5278970400492349,0.4980100671402204,-15.249303817749023,0.5324711807240261,-6.477374076843263,0.5387410703491938,-3.1438889503479004,1.087085215514436,0.04076587160428363,1.047887679189766,0.024044016997019524,0.9999884074344445,-4.5299530029296875e-06,0.0,0.0,1.0000641316893484,4.6913822491917445e-06
nonproportional,0.8606082995732626,0.9276895523071289,2.5238636334737143,4.046550114949544,0.9405121008555094,5.576881408691406,6.4111008644104,52308414464.0,21.258616765340168,0.7234097321828207,0.5042993227640787,0.9509556690851847,0.6613763570785522,0.8130512634913126,0.0,0.29789001246293384,0.14368288218975067,4.375003178914388,8.99939219156901,15.953865051269531,0.0,0.0,0.33299699425697327,0.12825894355773926,0.0,0.07315761595964432,0.0,0.0,0.39076294501622516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11067567269007365,0.005297257487351696,0.0,1.3027302424112956,0.04159782330195109,1.2277206214624433e-08,0.0,0.0,3.093018404361677e-08,11.287032127380371,0.45281553268432617,0.48866623640060425,0.4738309780617952,-12.533766110738117,0.9689859057935766,-0.029692331949869755,1.145562794936046,0.10331167777379346,0.947135186709038,-0.05307805538177501,0.5466853554193538,-3.355422655741374,0.6668039151123474,-1.2611525853474932,0.5251832963429639,-14.423843383789062,0.6495649557383885,-4.855099360148113,0.6418831311779042,-2.4408842722574873,1.0439027263948701,0.020551512638727842,0.9018578286655666,-0.04927639166514075,0.999998245861791,-6.854534149169922e-07,0.0,0.0,1.0000723136571268,5.289912223815918e-06
