load_path,metric,stat,recomputed_from_seed_json,summary_json,abs_diff,pass
cyclic,field_coverage_95,mean,0.00221354175592,0.00221354175592,0.000e+00,True
cyclic,field_coverage_95,std,0.00286014110388,0.00286014110388,0.000e+00,True
cyclic,field_coverage_95,median,0.00130208337214,0.00130208337214,0.000e+00,True
cyclic,field_coverage_95,iqr,0.00130208337214,0.00130208337214,0.000e+00,True
cyclic,calibrated_field_coverage_95,mean,0.95052087307,0.95052087307,0.000e+00,True
cyclic,calibrated_field_coverage_95,std,0,0,0.000e+00,True
cyclic,calibrated_field_coverage_95,median,0.95052087307,0.95052087307,0.000e+00,True
cyclic,calibrated_field_coverage_95,iqr,0,0,0.000e+00,True
cyclic,field_ece,mean,0.785807269812,0.785807269812,0.000e+00,True
cyclic,field_ece,std,0.00203807739734,0.00203807739734,0.000e+00,True
cyclic,field_ece,median,0.786197900772,0.786197900772,0.000e+00,True
cyclic,field_ece,iqr,0.000651031732559,0.000651031732559,0.000e+00,True
cyclic,calibrated_field_ece,mean,0.126009143889,0.126009143889,0.000e+00,True
cyclic,calibrated_field_ece,std,0.0128238258617,0.0128238258617,0.000e+00,True
cyclic,calibrated_field_ece,median,0.121354192495,0.121354192495,0.000e+00,True
cyclic,calibrated_field_ece,iqr,0.0185546875,0.0185546875,0.000e+00,True
cyclic,history_coverage_95,mean,0.0692187511944,0.0692187511944,0.000e+00,True
cyclic,history_coverage_95,std,0.0492138294517,0.0492138294517,0.000e+00,True
cyclic,history_coverage_95,median,0.0640625003725,0.0640625003725,0.000e+00,True
cyclic,history_coverage_95,iqr,0.0839843759313,0.0839843759313,0.000e+00,True
cyclic,calibrated_history_coverage_95,mean,0.965078121424,0.965078121424,0.000e+00,True
cyclic,calibrated_history_coverage_95,std,0.0224049995402,0.0224049995402,3.469e-18,True
cyclic,calibrated_history_coverage_95,median,0.949999988079,0.949999988079,0.000e+00,True
cyclic,calibrated_history_coverage_95,iqr,0.0253906548023,0.0253906548023,0.000e+00,True
cyclic,material_parameter_coverage_95,mean,0.0833333358169,0.0833333358169,0.000e+00,True
cyclic,material_parameter_coverage_95,std,0.058925566855,0.058925566855,0.000e+00,True
cyclic,material_parameter_coverage_95,median,0.0833333358169,0.0833333358169,0.000e+00,True
cyclic,material_parameter_coverage_95,iqr,0,0,0.000e+00,True
cyclic,calibrated_material_parameter_coverage_95,mean,1,1,0.000e+00,True
cyclic,calibrated_material_parameter_coverage_95,std,0,0,0.000e+00,True
cyclic,calibrated_material_parameter_coverage_95,median,1,1,0.000e+00,True
cyclic,calibrated_material_parameter_coverage_95,iqr,0,0,0.000e+00,True
cyclic,field_crps,mean,0.0170222114772,0.0170222114772,0.000e+00,True
cyclic,field_crps,std,0.00167230561251,0.00167230561251,0.000e+00,True
cyclic,field_crps,median,0.0161435734481,0.0161435734481,0.000e+00,True
cyclic,field_crps,iqr,0.00185550376773,0.00185550376773,0.000e+00,True
cyclic,calibrated_field_crps,mean,0.0273691205308,0.0273691205308,0.000e+00,True
cyclic,calibrated_field_crps,std,0.00551351151269,0.00551351151269,0.000e+00,True
cyclic,calibrated_field_crps,median,0.025256883353,0.025256883353,0.000e+00,True
cyclic,calibrated_field_crps,iqr,0.00675391871482,0.00675391871482,0.000e+00,True
nonproportional,field_coverage_95,mean,0.00299479172099,0.00299479172099,0.000e+00,True
nonproportional,field_coverage_95,std,0.00156791597609,0.00156791597609,0.000e+00,True
nonproportional,field_coverage_95,median,0.00390625,0.00390625,0.000e+00,True
nonproportional,field_coverage_95,iqr,0.00260416674428,0.00260416674428,0.000e+00,True
nonproportional,calibrated_field_coverage_95,mean,0.95052087307,0.95052087307,0.000e+00,True
nonproportional,calibrated_field_coverage_95,std,0,0,0.000e+00,True
nonproportional,calibrated_field_coverage_95,median,0.95052087307,0.95052087307,0.000e+00,True
nonproportional,calibrated_field_coverage_95,iqr,0,0,0.000e+00,True
nonproportional,field_ece,mean,0.784993463755,0.784993463755,0.000e+00,True
nonproportional,field_ece,std,0.00122666110312,0.00122666110312,0.000e+00,True
nonproportional,field_ece,median,0.784570276737,0.784570276737,0.000e+00,True
nonproportional,field_ece,iqr,0.001953125,0.001953125,0.000e+00,True
nonproportional,calibrated_field_ece,mean,0.111458365619,0.111458365619,0.000e+00,True
