Model,Seeds,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,FEM residual rel. RMS,FEM energy rel. err.
Faithful HANO strain-stress window NO,5,1.3520 +/- 0.3868,0.9147 +/- 0.0749,1.0016 +/- 0.0016,,,0.9907 +/- 0.0372,1.3897 +/- 0.7240,1.0025 +/- 0.0020,0.1759 +/- 0.1447,0.0818 +/- 0.0992,0.0020 +/- 0.0033,0.1626 +/- 0.2748,0.2909 +/- 0.5206,,
HANO-style window NO,5,1.3177 +/- 0.2532,0.9613 +/- 0.0857,1.0009 +/- 0.0015,,,1.1452 +/- 0.3611,1.5901 +/- 0.7273,1.0012 +/- 0.0015,0.1588 +/- 0.1740,0.0903 +/- 0.1335,0.0104 +/- 0.0207,0.8634 +/- 1.7268,0.6782 +/- 1.3565,,
