Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.
Faithful HANO strain-stress spectral-window NO,20260517,18366.7,169.053,1.36428,1.00563,29.2834,102.035,1.02394,0.53243,0.242173,0,0,0,13.928,9.22942,373.989,81351
Faithful HANO strain-stress spectral-window NO,20260518,12837.9,178.132,2.66517,1.01017,94.7347,23.8989,1.0056,0.535259,0.188223,0.00419992,189.816,7.83062,110.612,8.46634,1545.66,1.27627e+06
Faithful HANO strain-stress spectral-window NO,20260519,18499.2,111.455,1.89366,1.01611,293.225,188.073,1.04658,0.471363,0.785149,0.0311431,1407.52,7.46973,61.7229,19.1022,856.89,578389
Faithful HANO strain-stress spectral-window NO,20260520,53916.9,310.012,1.82659,1.00566,211.47,26.2648,1.03533,0.537723,0.00872749,0.0186338,842.159,31.6554,132.369,12.0486,2446.11,5.30226e+06
Faithful HANO strain-stress spectral-window NO,20260521,8783.08,149.175,0.944299,0.999309,82.9402,353.191,1.02389,0.485663,0.373274,0,0,0,56.9574,10.5208,1489.89,1.57665e+06
