Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.
Faithful HANO strain-stress spectral-window NO,20260517,9834.75,63.4302,1.25633,1.00734,59.6154,24.7646,1.01091,0.55805,0.381065,0.0016785,83.0834,3.30101,9.28856,16.3824,349.863,47827.4
Faithful HANO strain-stress spectral-window NO,20260518,4495.9,143.372,2.61198,1.014,132.791,8.93408,1.00243,0.578474,0.266338,0.00685633,339.38,36.4513,112.227,12.3063,2897.06,2.02133e+06
Faithful HANO strain-stress spectral-window NO,20260519,4123.44,136.307,2.50213,1.02216,195.246,99.1873,1.01084,0.426655,0.837052,0.0128072,633.942,6.36486,54.6343,17.0814,725.984,212957
Faithful HANO strain-stress spectral-window NO,20260520,25566.1,157.892,1.50427,1.00438,129.656,4.96866,1.00599,0.589891,0.00672403,0.00693278,343.164,64.673,30.8937,10.6493,724.236,196508
Faithful HANO strain-stress spectral-window NO,20260521,5319.13,150.16,0.877012,0.996006,55.9908,58.8511,1.0116,0.473616,0.165417,0.000803107,39.7528,0.670834,27.5953,11.4719,544.756,149355
