Model,Load path,Seeds,Disp. rel. L2,History rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.
QP-aware thermo-hard HistoryGNO,monotonic,1,2879.8240 +/- 0.0000,0.9913 +/- 0.0000,1.0001 +/- 0.0000,0.9815 +/- 0.0000,1.0002 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.6813 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,738.8798 +/- 0.0000,2860.2383 +/- 0.0000
QP-aware thermo-hard HistoryGNO,cyclic,1,2700.7390 +/- 0.0000,0.9935 +/- 0.0000,1.0000 +/- 0.0000,0.9864 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.7023 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.1362 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,769.0312 +/- 0.0000,269744.4375 +/- 0.0000
