Model,Seeds,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,FEM residual rel. RMS,FEM energy rel. err.
Thermo-hard HistoryGNO,5,152.6266 +/- 81.9298,1.1233 +/- 0.0072,1.0929 +/- 0.1371,25.2790 +/- 5.4260,34.3875 +/- 9.1254,1.1853 +/- 0.3129,0.4296 +/- 0.0032,0.0006 +/- 0.0006,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,166.8899 +/- 45.8734,10985.8847 +/- 5079.6128
Thermo-projected neural CDE,5,413.0465 +/- 230.0137,0.9821 +/- 0.0254,1.0234 +/- 0.0469,1.0000 +/- 0.0000,1.0000 +/- 0.0000,1.0487 +/- 0.0973,0.5681 +/- 0.0022,0.0011 +/- 0.0023,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,908.0849 +/- 405.0155,316426.7328 +/- 268417.4077
