protocol,sparse_config,load_path,metric,stat,recomputed_from_seed_json,summary_json,abs_diff,rel_diff,pass
strict_path_ood,s2_t2,unload_reload,history_relative_l2,std,0.016672212797,0.016672212797,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_relative_l2,median,0.985233068466,0.985233068466,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_relative_l2,iqr,0.0146263241768,0.0146263241768,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_final_relative_l2,mean,0.212604138255,0.212604138255,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_final_relative_l2,std,0.0211796374641,0.0211796374641,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_final_relative_l2,median,0.204236075282,0.204236075282,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_final_relative_l2,iqr,0.0116203427315,0.0116203427315,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_coverage_95,mean,0.0492968764156,0.0492968764156,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_coverage_95,std,0.0229810036179,0.0229810036179,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_coverage_95,median,0.050048828125,0.050048828125,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_coverage_95,iqr,0.0368652381003,0.0368652381003,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_ece,mean,0.742360830307,0.742360830307,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_ece,std,0.0208855415141,0.0208855415141,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_ece,median,0.740515112877,0.740515112877,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_ece,iqr,0.0284179449081,0.0284179449081,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_nll,mean,3343294.6,3343294.6,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_nll,std,1075800.55314,1075800.55314,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_nll,median,3613442.5,3613442.5,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,history_nll,iqr,1660458.75,1660458.75,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_coverage_95,mean,0.822343754768,0.822343754768,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_coverage_95,std,0.0384502608971,0.0384502608971,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_coverage_95,median,0.8251953125,0.8251953125,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_coverage_95,iqr,0.0418945550919,0.0418945550919,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_ece,mean,0.121362298727,0.121362298727,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_ece,std,0.0108604327528,0.0108604327528,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_ece,median,0.11835937202,0.11835937202,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_ece,iqr,0.000634759664536,0.000634759664536,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_nll,mean,777999.918262,777999.918262,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_nll,std,1339153.46358,1339153.46358,2.328e-10,1.739e-16,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_nll,median,186850.65625,186850.65625,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_nll,iqr,456982.875,456982.875,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_spread_scale,mean,9398.67607422,9398.67607422,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_spread_scale,std,1344.60117454,1344.60117454,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_spread_scale,median,10000,10000,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_history_spread_scale,iqr,0,0,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_coverage_95,mean,0.0470052103512,0.0470052103512,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_coverage_95,std,0.0447279447228,0.0447279447228,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_coverage_95,median,0.0537109375,0.0537109375,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_coverage_95,iqr,0.0623372443952,0.0623372443952,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_ece,mean,0.748632788658,0.748632788658,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_ece,std,0.0340681966435,0.0340681966435,0.000e+00,0.000e+00,True
