load_path,displacement_loss,displacement_relative_l2,eq_plastic_strain_increment_relative_l2,eq_plastic_strain_relative_l2,final_displacement_relative_l2,final_eq_plastic_strain_relative_l2,final_history_relative_l2,final_plastic_multiplier_increment_relative_l2,final_plastic_work_relative_l2,final_von_mises_relative_l2,final_yield_flag_mae,history_increment_relative_l2,history_loss,history_relative_l2,plastic_multiplier_increment_relative_l2,plastic_work_increment_relative_l2,plastic_work_relative_l2,predicted_eq_plastic_strain_monotonic_violation,predicted_max_eq_plastic_strain,predicted_mean_plastic_work,predicted_negative_plastic_multiplier_violation,predicted_plastic_work_monotonic_violation,predicted_yield_flag_bounds_violation,target_eq_plastic_strain_monotonic_violation,target_max_eq_plastic_strain,target_mean_plastic_work,target_negative_plastic_multiplier_violation,target_path_newton_residual_relative,target_path_newton_residual_rms,target_plastic_work_monotonic_violation,target_yield_flag_bounds_violation,total_loss,von_mises_relative_l2,yield_flag_mae,total_loss_ratio,total_loss_delta,displacement_relative_l2_ratio,displacement_relative_l2_delta,history_relative_l2_ratio,history_relative_l2_delta,history_increment_relative_l2_ratio,history_increment_relative_l2_delta,eq_plastic_strain_relative_l2_ratio,eq_plastic_strain_relative_l2_delta,eq_plastic_strain_increment_relative_l2_ratio,eq_plastic_strain_increment_relative_l2_delta,plastic_work_relative_l2_ratio,plastic_work_relative_l2_delta,plastic_work_increment_relative_l2_ratio,plastic_work_increment_relative_l2_delta,plastic_multiplier_increment_relative_l2_ratio,plastic_multiplier_increment_relative_l2_delta,yield_flag_mae_ratio,yield_flag_mae_delta,von_mises_relative_l2_ratio,von_mises_relative_l2_delta
monotonic,64.63922119140625,8.039852142333984,22.90216827392578,36.7989501953125,7.1278533935546875,31.739219665527344,3.141746759414673,15.106657028198242,112.0607681274414,1.3427705764770508,0.43764805793762207,1.6636779308319092,6.921743869781494,2.630920648574829,20.23103904724121,72.92350006103516,140.03579711914062,0.0,2.6800429821014404,1.1347465515136719,0.0,0.0,0.0,0.0,0.11655382812023163,0.004616160877048969,0.0,1.2883760929107666,0.042814478278160095,0.0,0.0,71.56863403320312,2.528036117553711,0.4715338945388794,,,,,,,,,,,,,,,,,,,,,,
unload_reload,40.72792053222656,6.381842613220215,26.53903579711914,28.95298194885254,7.127657890319824,31.73863410949707,3.144102096557617,25.658794403076172,112.05958557128906,1.3428106307983398,0.43764567375183105,1.3739384412765503,6.824663162231445,2.61240553855896,20.04958724975586,80.71292877197266,112.09598541259766,0.0,2.6800432205200195,1.134731411933899,0.0,0.0,0.0,0.0,0.11655353009700775,0.007252993993461132,0.0,1.3483487367630005,0.04822321981191635,0.0,0.0,47.56026077270508,2.3140013217926025,0.47649580240249634,0.6645405688564666,-24.008373260498047,0.7937761168040031,-1.6580095291137695,0.992962497737855,-0.01851511001586914,0.8258440025044529,-0.2897394895553589,0.7867882587732247,-7.845968246459961,1.1588001397812604,3.6368675231933594,0.80048093215214,-27.93981170654297,1.106816440577015,7.7894287109375,0.9910310193627897,-0.18145179748535156,1.010522908153759,0.004961907863616943,0.9153355467214519,-0.2140347957611084
cyclic,23.662109375,4.8643717765808105,179.70396423339844,21.311071395874023,7.212123394012451,30.957767486572266,8.643270492553711,22130.794921875,109.81710052490234,4.018721580505371,0.5467556118965149,1.4051488637924194,7.5375165939331055,2.7454535961151123,11.973299026489258,876.8308715820312,77.59281921386719,0.0,2.6800434589385986,1.1347362995147705,0.0,0.0,0.0,0.0,0.11804814636707306,0.011854433454573154,0.0,1.3431507349014282,0.05007582902908325,0.0,0.0,31.207304000854492,1.9332674741744995,0.4883137047290802,0.43604722127819795,-40.36133003234863,0.6050324919493699,-3.175480365753174,1.043533410102021,0.1145329475402832,0.844603897035399,-0.25852906703948975,0.5791217217546781,-15.487878799438477,7.846591732451472,156.80179595947266,0.5540927449275861,-62.44297790527344,12.023982267007831,803.9073715209961,0.5918281803782088,-8.257740020751953,1.0355855864966188,0.016779810190200806,0.7647309548904913,-0.5947686433792114
nonproportional,24.345062255859375,4.9340715408325195,31.856775283813477,22.644737243652344,6.750374794006348,30.316347122192383,26.776073455810547,512811958272.0,104.73993682861328,4.5751118659973145,0.5623488426208496,1.6773561239242554,9.344157218933105,3.056821584701538,16.03516387939453,81.45381927490234,81.78031921386719,0.0,2.6800436973571777,1.134721279144287,0.0,0.0,0.0,0.0,0.12194623798131943,0.010406632907688618,0.0,1.4001739025115967,0.052939001470804214,0.0,0.0,33.6968994140625,2.116054058074951,0.5044445991516113,0.4708333457702904,-37.871734619140625,0.6137017762866656,-3.105780601501465,1.1618828512967199,0.425900936126709,1.0082216592760274,0.013678193092346191,0.6153636754163944,-14.154212951660156,1.3909938527559662,8.954607009887695,0.5839958131868922,-58.25547790527344,1.1169762724872987,8.530319213867188,0.7926020923567518,-4.19587516784668,1.0697949924573626,0.032910704612731934,0.8370347414666607,-0.41198205947875977
