Model,Seeds,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,FEM residual rel. RMS,FEM energy rel. err.
Thermo-hard HistoryGNO,1,79.6891 +/- 0.0000,1.4635 +/- 0.0000,1.0065 +/- 0.0000,29.4576 +/- 0.0000,47.8817 +/- 0.0000,1.0077 +/- 0.0000,0.9000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,190.7706 +/- 0.0000,50254.8047 +/- 0.0000
Thermo-projected neural CDE,1,2162.4153 +/- 0.0000,1.4414 +/- 0.0000,1.0003 +/- 0.0000,2.2695 +/- 0.0000,2.2290 +/- 0.0000,1.0004 +/- 0.0000,0.9000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,129.7034 +/- 0.0000,18556.3242 +/- 0.0000
