Model,Seeds,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Thermo-hard HistoryGNO,1,128.9528 +/- 0.0000,2.9023 +/- 0.0000,1.0135 +/- 0.0000,788.7199 +/- 0.0000,1107.6937 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000
HANO-window recent-history NO,1,6526.6055 +/- 0.0000,4.6230 +/- 0.0000,2.1584 +/- 0.0000,13483.1201 +/- 0.0000,271642.5312 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5442 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000
INCDE Euler neural CDE,1,7912.0132 +/- 0.0000,4.0880 +/- 0.0000,2.0133 +/- 0.0000,23015.5547 +/- 0.0000,195954.9062 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4144 +/- 0.0000,0.1084 +/- 0.0000,52724.3086 +/- 0.0000,0.2691 +/- 0.0000
