model,grid,split,relative_l2,pde_residual_relative,boundary_relative,energy_error_relative,coverage_95,ece,crps,sharpness,interval_width_95
mesh2meshgno,0x0,test,0.8227111101150513,0.9892450571060181,0.2418668270111084,0.6332277655601501,,,,,
mesh2meshgno,0x0,ood_material,0.8318455219268799,0.9743741750717163,0.4713023900985718,0.25574785470962524,,,,,
mesh2meshgno,0x0,ood_loading,0.968993067741394,0.9970316886901855,0.07898648083209991,0.8654005527496338,,,,,
