Model,Load path,Seeds,Disp. rel. L2,History rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,QP reversal scalar-inc. rel. L2,QP reversal eqp-inc. rel. L2,QP reversal work-inc. rel. L2,QP reversal yield MAE,QP inactive false plasticity,True-J2 consistency rel. RMS,True-J2 active consistency rel. RMS,True-J2 negative dgamma,True-J2 active QP frac.,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.
Faithful HANO strain-stress spectral-window NO,monotonic,5,236.0873 +/- 120.9778,2.4914 +/- 1.0098,1.0367 +/- 0.0308,,,,,,,,,,,,,,,200.4324 +/- 106.1922,81.3270 +/- 68.2819,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.3479 +/- 0.2897,0.0025 +/- 0.0023,333.9699 +/- 298.9216,16.0018 +/- 19.5719,62.4522 +/- 58.2005,14.5797 +/- 2.8237,1376.9486 +/- 1616.8681,9609.5441 +/- 17243.5290
Faithful HANO strain-stress spectral-window NO,cyclic,5,219.2648 +/- 112.3121,1.9401 +/- 0.7712,1.0081 +/- 0.0072,,,,,,,,,,,,,,,57.2902 +/- 30.4881,22.6514 +/- 19.1251,1.0099 +/- 0.0036,0.5128 +/- 0.0322,0.3479 +/- 0.2897,0.0025 +/- 0.0023,93.8390 +/- 83.9909,16.0016 +/- 19.5711,60.5640 +/- 55.9163,12.6225 +/- 2.4336,1444.2024 +/- 1679.9494,2012041.6109 +/- 3573285.5111
