Model,Seeds,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
HANO-window recent-history NO,1,97.7181 +/- 0.0000,3.9406 +/- 0.0000,1.2418 +/- 0.0000,4.5370 +/- 0.0000,44.5856 +/- 0.0000,1.1804 +/- 0.0000,0.6794 +/- 0.0000,0.5856 +/- 0.0000,0.0349 +/- 0.0000,2.8698 +/- 0.0000,0.0648 +/- 0.0000
INCDE Euler neural CDE,1,114.7810 +/- 0.0000,2.8560 +/- 0.0000,1.1362 +/- 0.0000,6.6424 +/- 0.0000,26.0815 +/- 0.0000,1.0971 +/- 0.0000,0.5423 +/- 0.0000,0.4691 +/- 0.0000,0.3707 +/- 0.0000,30.5477 +/- 0.0000,1.1395 +/- 0.0000
Thermo-projected neural CDE,1,114.7812 +/- 0.0000,1.0497 +/- 0.0000,1.0000 +/- 0.0000,0.9851 +/- 0.0000,0.9942 +/- 0.0000,1.0008 +/- 0.0000,0.9516 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000
