Model,Seeds,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Thermo-hard HistoryGNO,5,72.1579 +/- 32.5909,2.7712 +/- 0.1177,1.4262 +/- 0.3854,174.8144 +/- 45.1963,187.1754 +/- 51.1733,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0015 +/- 0.0011,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000
HistoryGNO data-only,5,85.2672 +/- 42.7895,6.3737 +/- 0.5458,2.7516 +/- 0.1846,33942.6605 +/- 8074.5418,275808.6625 +/- 70144.5634,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4343 +/- 0.0701,0.6660 +/- 0.5889,323830.9078 +/- 286330.7484,1.5795 +/- 1.6484
HANO-window recent-history NO,5,266.5021 +/- 66.6855,5.9717 +/- 2.9221,1.0134 +/- 0.0073,2652.5086 +/- 1192.0515,4552.3790 +/- 2806.8113,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5947 +/- 0.7767,0.0051 +/- 0.0045,2474.4065 +/- 2181.6872,0.7416 +/- 0.6914
INCDE Euler neural CDE,5,216.6153 +/- 85.7754,1.1247 +/- 0.0174,1.0423 +/- 0.0346,540.7789 +/- 247.9241,3993.3066 +/- 2050.1104,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.2213 +/- 0.0132,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000
Thermo-projected neural CDE,5,215.7868 +/- 86.1338,0.9897 +/- 0.0078,1.0044 +/- 0.0101,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0011 +/- 0.0021,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000
Non-recurrent GNO sequence,5,131.0509 +/- 62.5613,1.1350 +/- 0.0292,1.0006 +/- 0.0008,13.9157 +/- 10.5534,149.0572 +/- 152.8607,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.2000 +/- 0.0153,0.0003 +/- 0.0003,127.9833 +/- 164.3750,1.3706 +/- 1.1518
Static DeepONet sequence,5,10.0539 +/- 1.4644,1.1338 +/- 0.0262,1.0001 +/- 0.0009,19.1331 +/- 29.3349,115.5840 +/- 128.6851,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.2141 +/- 0.0355,0.0002 +/- 0.0003,115.8575 +/- 129.0093,0.8302 +/- 0.4190
